user,instance_id,displayed_text,"The highlighted quantity should have a general type. Please label the type, or select 'Not Relevant' is a date or otherwise not relevant to the U.S. economy:::Macroeconomic / General Economic Conditions (e.g., discusses jobs, housing prices, and oil prices)","frame:::Government revenue and expenses (e.g., discusses taxes, budgets, and treasury issuances)","frame:::Firm-specific (e.g., discusses stock prices, debt offerings, and capital investments)","frame:::Industry-specific (e.g., discusses agricultural prices, manufacturing output, and retail sales)","frame:::Personal (e.g., discusses household expenditures and personal debts)",frame:::Other,frame:::Not Relevant to the U.S. Economy,"frame:::Macroeconomic / General Economic Conditions (e.g., discusses jobs, housing prices, and oil prices)","macro_indicator:::Job Numbers (e.g., jobs, unemployment)",macro_indicator:::Confidence,"macro_indicator:::Housing (e.g., Start, Sales, Pricing)","macro_indicator:::Prices (e.g., CPI, PPI)",macro_indicator:::Other,"macro_indicator:::Wages (e.g., minimum wage, average wage)",macro_indicator:::Not Relevant to the U.S. Economy,macro_indicator:::Not general type 'Macroeconomic / General Economic Conditions',"macro_indicator:::Macroeconomy (e.g., GDP)","macro_indicator:::Energy Prices (eg., oil, gas)",macro_indicator:::Retail Sales,macro_indicator:::Currency Values,"macro_indicator:::Interest Rates (e.g., Fed, Mortgage)","macro_indicator:::Market Numbers (e.g., any financial market)","spin:::Positive (e.g., inflation dropped)","spin:::Neutral (e.g., GDP was worth X US dollars)",spin:::Unknown,spin:::Not general type 'Macroeconomic / General Economic Conditions',spin:::Not Relevant to the U.S. Economy,"spin:::Negative (e.g., prices skyrocketed)","Question 1: The highlighted quantity should have a general type. Please label the type, or select 'Not Relevant to the U.S. Economy' if it is a date or otherwise not relevant to the U.S. economy:::Firm-specific (e.g., discusses stock prices, debt offerings, and capital investments)","Question 1: The highlighted quantity should have a general type. Please label the type, or select 'Not Relevant to the U.S. Economy' if it is a date or otherwise not relevant to the U.S. economy:::Macroeconomic / General Economic Conditions (e.g., discusses jobs, housing prices, and oil prices)","Question 2: If the quantity's general type is 'Macroeconomic / General Economic Conditions', please label the specific macroeconomic indicator. Select 'Not general type 'Macroeconomic / General Economic Conditions'' if the quantity is not relevant to the U.S. economy or is not a macroeconomic / general conditions type.:::Not general type 'Macroeconomic / General Economic Conditions'","Question 2: If the quantity's general type is 'Macroeconomic / General Economic Conditions', please label the specific macroeconomic indicator. Select 'Not general type 'Macroeconomic / General Economic Conditions'' if the quantity is not relevant to the U.S. economy or is not a macroeconomic / general conditions type.:::Housing (e.g., Start, Sales, Pricing)","Question 3: If the quantity's general type is 'Macroeconomic / General Economic Conditions', what spin does the writer of the excerpt put on the highlighted quantity?:::Not general type 'Macroeconomic / General Economic Conditions'","Question 3: If the quantity's general type is 'Macroeconomic / General Economic Conditions', what spin does the writer of the excerpt put on the highlighted quantity?:::Negative (e.g., prices skyrocketed)"," If the quantity's general type is 'Macroeconomic / General Economic Conditions', what spin does the writer of the excerpt put on the highlighted quantity?:::Negative (e.g., prices skyrocketed)","If the quantity's general type is 'Macroeconomic / General Economic Conditions', please label the specific macroeconomic indicator. Select 'Not general type 'Macroeconomic / General Economic Conditions'' if the quantity is not relevant to the U.S. economy or is not a macroeconomic / general conditions type.:::Market Numbers (e.g., any financial market)","Good work! You answered the sample questions correctly. Please confirm that you have read all instructions, because you'll now do 2 examples on your own.:::I have read all provided instructions",You have answered all practice questions correctly! You may access the instructions at any time during the study using the links at the top left the screen.:::I have identified the links to the instruction set and codebook,Please note that we reserve the right to reject your annotations if the provided instructions are not followed.:::I understand that my answers will be rejected if I do not follow the instructions
5f9b1ec2a1794a2ecec61812,62318_18,"You think a great America is where a woman's purpose is to be a beautiful piece of a**. Trump famously said in an interview with Esquire <span>in 1991,</span> ""You know, it doesn't really matter what [the media] write as long as you've got a young and beautiful piece of a**."" Granted, that was in 1991, but while his views of many different things have frequently changed throughout the years, there's no evidence that his views on women have.",,,,,,,6,,,,,,,,13,,,,,,,,,,,,5,,,,,,,,,,,,
5f9b1ec2a1794a2ecec61812,28092_6,"But it is a stretch to think Wells Fargo WFC 1.79%increase; green up pointing triangle, with its large home-equity book focused on stressed housing markets, will have a lower-than-sector loss rate of 13.2%. The government may have been too optimistic in positing <span>an 8.5% commercial</span>-real-estate loss rate. This sector is just starting to fall apart, and defaults may move sharply higher as borrowers struggle to refinance loans.",,,,,,,,0,,,,,,,,,,,,,,1,,,3,,,,,,,,,,,,,,
5f9b1ec2a1794a2ecec61812,14797_5,"Since its last meeting, economic data have been mixed. Jobs data for July were strong—payrolls <span>rose 255,000</span>—but retail sales and inflation indicators for the month were soft, leaving open the possibility of a prolonged Fed divide that could further delay the next rate move. Despite the mixed economic backdrop, some notable officials this week have sought to remind investors that the time for another rate increase was drawing near.",,,,,,,,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
5f9b1ec2a1794a2ecec61812,76378_8,"“Private-sector economists project the toll of the crisis will include 5 million lost jobs and $1.5 trillion in lost economic output,” per the Wall Street Journal's Jon Hilsenrath and Stephanie Armour. ""U.S. stocks have already <span>lost $12 trillion</span> in value since mid-February, and globally losses have shredded $26 trillion from investor portfolios. The stock market continues its record-setting nosedive, with the S&P 500 and the Dow Jones industrial average each dropping another 3 percent.",,,1,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,
5f9b1ec2a1794a2ecec61812,61198_1,"“Given the number of people who have lost their jobs and the likelihood that some will struggle to find work in the postpandemic economy, achieving and sustaining maximum employment will require more than supportive monetary policy,” Jerome H. Powell, the chair of the Federal Reserve, said in speech to the Economic Club of New York on Wednesday. “It will require a societywide commitment.” Mr. Powell called policies that would bring the coronavirus pandemic to an end as soon as possible “paramount” and said both workers and businesses that had been disrupted by the crisis “are likely to need continued support.” Unemployment remains sharply elevated at 6.3 percent, up <span>from 3.5 percent</span> before the pandemic, and jumps to about 10 percent when adjusted for misclassified job statuses and recent dropouts from the work force. The pain has also been uneven.",,,,,,,,0,0,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
5f9b1ec2a1794a2ecec61812,61044_13,"Yields on junk bonds recently fell below 6% for the first time ever. Meanwhile, leveraged-loan mutual funds and exchange-traded funds had inflows of $1.2 billion in the week ended Feb.<span> 6,</span> the biggest ever, according to fund tracker Lipper, whose records go back to 1992. Issuance from pools of leveraged loans that sell securities backed by the debt, called collateralized loan obligations, is expected to reach $80 billion this year, according to estimates from Royal Bank of Scotland.",,,,,,,6,,,,,,,,13,,,,,,,,,,,,5,,,,,,,,,,,,
5f9b1ec2a1794a2ecec61812,Economic-Article-Quant-Annotation-example1.html,example1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Question 1: The highlighted quantity should have a general type. Please label the type, or select 'Not Relevant to the U.S. Economy' if it is a date or otherwise not relevant to the U.S. economy:::Firm-specific (e.g., discusses stock prices, debt offerings, and capital investments)",,"Question 2: If the quantity's general type is 'Macroeconomic / General Economic Conditions', please label the specific macroeconomic indicator. Select 'Not general type 'Macroeconomic / General Economic Conditions'' if the quantity is not relevant to the U.S. economy or is not a macroeconomic / general conditions type.:::Not general type 'Macroeconomic / General Economic Conditions'",,"Question 3: If the quantity's general type is 'Macroeconomic / General Economic Conditions', what spin does the writer of the excerpt put on the highlighted quantity?:::Not general type 'Macroeconomic / General Economic Conditions'",,,,,,
5f9b1ec2a1794a2ecec61812,Economic-Article-Quant-Annotation-instructions3_example.html,instructions3_example,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," If the quantity's general type is 'Macroeconomic / General Economic Conditions', what spin does the writer of the excerpt put on the highlighted quantity?:::Negative (e.g., prices skyrocketed)",,,,
5f9b1ec2a1794a2ecec61812,62318_17,"Could it be that you thought his mockery was quite funny, too? AP Photo/Andrew <span>Harnik  3.</span> You think a great America is where a woman's purpose is to be a beautiful piece of a**.",,,,,,,6,,,,,,,,13,,,,,,,,,,,,5,,,,,,,,,,,,
5f9b1ec2a1794a2ecec61812,785_2,"Retail sales grew 0.3% in August from the month before, a reversal after July’s 0.4% drop, which largely reflected falling gasoline prices. Retail sales <span>rose 9.1% from</span> August 2021. Economists polled by The Wall Street Journal estimate that seasonally adjusted retail sales rose 0.3% in September from August.",,,,2,,,,,,,,,,,,,,,7,,,,0,,,,,,,,,,,,,,,,
5f9b1ec2a1794a2ecec61812,63507_7,"The disparate views among Mr. Trump’s top trade advisers have prompted sparring — both publicly and behind the scenes. In <span>late 2017,</span> when Mr. Lighthizer grew concerned that Mr. Mnuchin and Wilbur Ross, the commerce secretary, were wading too far into China matters, he enlisted Rob Porter, the president’s staff secretary at the time, to persuade Mr. Trump to draft a document designating Mr. Lighthizer the main trade emissary to China, according to a person who has seen the letter. Mr. Lighthizer has never used the document to defend his position, the person said, but he considers it an insurance policy of sorts.",,,,,,,6,,,,,,,,13,,,,,,,,,,,,5,,,,,,,,,,,,
5f9b1ec2a1794a2ecec61812,Economic-Article-Quant-Annotation-instructions2_example.html,instructions2_example,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"If the quantity's general type is 'Macroeconomic / General Economic Conditions', please label the specific macroeconomic indicator. Select 'Not general type 'Macroeconomic / General Economic Conditions'' if the quantity is not relevant to the U.S. economy or is not a macroeconomic / general conditions type.:::Market Numbers (e.g., any financial market)",,,
5f9b1ec2a1794a2ecec61812,63507_1,"His approach will have significant ramifications for American companies, workers and consumers whose fortunes, whether Mr. Trump likes it or not, are increasingly tied to China. First, however, Mr. Lighthizer will need to keep a mercurial president from wavering in the face of queasy financial markets, which have suffered their steepest annual decline <span>since 2008.</span> Despite his declaration that trade wars are “easy to win” and his recent boast that he is a “Tariff Man,” Mr. Trump is increasingly eager to reach a deal that will help calm the markets, which he views as a political electrocardiogram of his presidency.",,,,,,,6,,,,,,,,13,,,,,,,,,,,,5,,,,,,,,,,,,
5f9b1ec2a1794a2ecec61812,31569_46,"Its rising middle class shows there is room for more growth. Total consumption, top five countries Per capita China 28 billion gallons Mexico 72 gallons U.S. 14 U.S. 42 Mexico 9 Indonesia 33 Indonesia 9 Brazil 29 Brazil 6 China 20 Total consumption, top five countries Per capita China 28 billion gallons Mexico 72 gallons U.S. 14 U.S. 42 Mexico 9 Indonesia 33 Indonesia 9 Brazil 29 Brazil 6 China 20 Total consumption, top five countries Per capita China 28 billion gallons Mexico 72 gallons U.S. 14 U.S. 42 Mexico 9 Indonesia 33 Indonesia 9 Brazil 29 Brazil 6 China 20 Total consumption, top five countries China 28 billion gallons U.S. 14 Mexico 9 Indonesia 9 Brazil 6 Per capita Mexico 72 gallons U.S. 42 Indonesia 33 Brazil<span> 29 China</span> 20 Source: Beverage Marketing Corp. As people care more about the quality of tap water, they are more likely to turn to bottled water instead, said Mark Miao, a Shanghai-based market researcher at Euromonitor International. Four of the 10 largest packaged bottled-water companies world-wide are now Chinese, according to GlobalData, a research and consulting firm.",,,,2,,,,,,,,,11,,,,,,,,,,,,3,,,,,,,,,,,,,,
5f9b1ec2a1794a2ecec61812,41856_16,"- Former president Donald Trump’s national security adviser, Robert O’Brien, speaks at a Heritage Foundation event on U.S. tech competition with China on Monday at 11 a.m. - The House Small Business Committee holds a hearing on small businesses and antitrust on Tuesday at 10 a.m. - The House Energy and Commerce Committee holds a hearing on legislation targeting Big Tech on Tuesday at 10:30 a.m. - Acting White House Office of Science and Technology Policy director Alondra Nelson and others speak at the Social Science Research Council’s launch of its Just Tech platform on Tuesday at 1 p.m. Before you log off 💖 A mother's love! 💖 Our @MylesHarrisTV got a surprise visit from his mom while he was working 😂🤣 https://t.co/EUXMgNmFVm pic.twitter.com/2M6usOHaW9— WSYX <span>ABC 6 </span>(@wsyx6) February 23, 2022",,,,,,,6,,,,,,,,13,,,,,,,,,,,,5,,,,,,,,,,,,
5f9b1ec2a1794a2ecec61812,6425_2,"Big Oil Companies Binge on Debt Exxon, Shell, BP and Chevron have combined debt of $184 billion amid two-year slump Some of the world’s largest energy companies are saddled with their highest debt levels ever as they struggle with low crude prices, raising worries about their ability to pay dividends and find new barrels. Exxon Mobil Corp. XOM 0.34 % , Royal Dutch Shell RDS.A -0.76 % PLC, BP <span>BP 0.41 </span>% PLC and Chevron Corp. CVX 0.51 % hold a combined net debt of $184 billion—more than double their debt levels in 2014, when oil prices began a steep descent that eventually bottomed out at $27 a barrel earlier this year. Crude prices have rebounded since, but still hover near $50 a barrel.",,,1,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,
5f9b1ec2a1794a2ecec61812,76378_0,"“Or the market could down even more if the community of investors and traders believe this is the opposite of what is needed. Above all else it will be the empirical data that suggests the virus is receding.” Adam Sarhan, CEO of investment <span>firm 50 Park</span> Investments, says the market will only stop plumbing new lows once new infections level off. “What the world, and the market, needs to see is that number stop going up,” he says.",,,,2,,,,,,,,,11,,,,,,,,,,,2,,,,,,,,,,,,,,,
5f9b1ec2a1794a2ecec61812,6425_7,"Exxon Mobil Corp. XOM 0.34 % , Royal Dutch Shell RDS.A -0.76 % PLC, BP BP 0.41 % PLC and Chevron Corp. CVX 0.51 % hold a combined net debt of $184 billion—more than double their debt levels in 2014, when oil prices began a steep descent that eventually bottomed out at $27 a barrel earlier this year. Crude prices have rebounded since, but still hover <span>near $50 a</span> barrel. The soaring debt levels are a fresh reminder of the toll the two-year price slump has taken on the oil industry.",,,,2,,,,,,,,5,,,,,,,,,,,,2,,,,,,,,,,,,,,,
5f9b1ec2a1794a2ecec61812,46188_3,"Negative rates reflect sluggish growth in Europe  Sept. 12, 2019 3:33 pm ET  The European Central Bank’s decision Thursday to lower its key interest rate further below zero while relaunching an asset-purchase program means monetary policy in Europe is now even more stimulative than in the U.S.  That prompted a strong response from President Trump, who complained in a tweet that the ECB is weakening the euro against the U.S. dollar and thus “hurting U.S. exports,” while the Federal Reserve “sits, and sits, and sits.”  The Fed cut its benchmark rate by a quarter percentage point in July and is poised to do so again next week, which would lower the rate to a range between 1.75% and<span> 2%.</span> That would be well above the ECB’s key rate, which will drop to minus 0.5%.",,,,,,,,0,,,,,,,,,3,,,,,,0,,,,,,,,,,,,,,,,
5f9b1ec2a1794a2ecec61812,Economic-Article-Quant-Annotation-instructions_confirm.html,instructions_confirm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Good work! You answered the sample questions correctly. Please confirm that you have read all instructions, because you'll now do 2 examples on your own.:::I have read all provided instructions",,
5f9b1ec2a1794a2ecec61812,49071_7,"The hit to the economy was all the harder because the Federal Reserve couldn’t compensate by cutting interest rates, since they already were near zero. This year will be the mirror image <span>of 2011.</span> With the spending caps loosened and several tax cuts becoming permanent, fiscal policy has now turned stimulative.",,,,,,,6,,,,,,,,13,,,,,,,,,,,,5,,,,,,,,,,,,
5f9b1ec2a1794a2ecec61812,22778_2,"This looming new supply may be a key reason Saudi Arabia’s giant oil producer, Aramco, pushed ahead on Sunday with plans for what could be the world’s largest initial stock offering ever. Together, the four countries stand to add nearly a million barrels a day to the market in 2020 and nearly a million more in 2021, on top of the current world crude output <span>of 80 million</span> barrels a day. That boost in production, along with global efforts to lower emissions, will almost certainly push oil prices down.",,,,2,,,,,,,,,11,,,,,,,,,,,2,,,,,,,,,,,,,,,
5f9b1ec2a1794a2ecec61812,76369_6,"Consumer spending has been relatively robust this year, helped by the strong U.S. economy, rising wages and low unemployment. The National Retail Federation said it expects holiday sales to rise in the range <span>of 3.8% to</span> 4.2%—to about $730 billion. Target on Wednesday raised its adjusted earnings per share targets for the year to $6.25 to $6.45, compared with the prior range of $5.90 to $6.20.",,,,2,,,,,,,,,,,,,,,7,,,,0,,,,,,,,,,,,,,,,
5f9b1ec2a1794a2ecec61812,47035_7,"It also spawned a pair of explosive and potentially groundbreaking lawsuits, with one tentatively set to go to trial this fall. * China Ratchets Up Pressure on Foreign CompaniesApril 27,<span> 2023,</span> * Amazon Rebounds From Postpandemic Doldrums, but Says Cloud Growth Is SlowingApril 27, 2023, * Stocks Rally, Led by NasdaqApril 27, 2023,  * China Ratchets Up Pressure on Foreign CompaniesApril 27, 2023, * Amazon Rebounds From Postpandemic Doldrums, but Says Cloud Growth Is SlowingApril 27, 2023, * Stocks Rally, Led by NasdaqApril 27, 2023, * Higher Rates Hit U.S. GrowthApril 27, 2023, * Denied a Gun License Over School Threat, Accused Leaker Jack Teixeira Later Got Top-Secret ClearanceApril 27, 2023, * Iran Seizes U.S.-Bound Oil TankerApril 27, 2023, * DeSantis’s Miscalculation: ‘Disney Is Playing the Long Game’April 27, 2023, * U.S. Sanctions Russian, Iranian Security Services Over Wrongful DetentionsApril 27, 2023, * Fire Sale: $300 Million San Francisco Office Tower, Mostly Empty. Open to Offers.",,,,,,,6,,,,,,,,13,,,,,,,,,,,,5,,,,,,,,,,,,
5f9b1ec2a1794a2ecec61812,Economic-Article-Quant-Annotation-instructions1_example.html,instructions1_example,"The highlighted quantity should have a general type. Please label the type, or select 'Not Relevant' is a date or otherwise not relevant to the U.S. economy:::Macroeconomic / General Economic Conditions (e.g., discusses jobs, housing prices, and oil prices)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f9b1ec2a1794a2ecec61812,28092_3,"For example, an 8.8% loss rate for first-lien mortgages seems suitably tough, even when taking into account the aggressive underwriting during the housing bubble. The government'<span>s 13.8% worst</span>-case loss-rate for second-lien mortgages seems fair. But it is a stretch to think Wells Fargo WFC 1.79%increase; green up pointing triangle, with its large home-equity book focused on stressed housing markets, will have a lower-than-sector loss rate of 13.2%.",,,,,,,,0,,,2,,,,,,,,,,,,,,3,,,,,,,,,,,,,,
5f9b1ec2a1794a2ecec61812,47035_9,"It also spawned a pair of explosive and potentially groundbreaking lawsuits, with one tentatively set to go to trial this fall. * China Ratchets Up Pressure on Foreign CompaniesApril 27,<span> 2023,</span> * Amazon Rebounds From Postpandemic Doldrums, but Says Cloud Growth Is SlowingApril 27, 2023, * Stocks Rally, Led by NasdaqApril 27, 2023,  * China Ratchets Up Pressure on Foreign CompaniesApril 27, 2023, * Amazon Rebounds From Postpandemic Doldrums, but Says Cloud Growth Is SlowingApril 27, 2023, * Stocks Rally, Led by NasdaqApril 27, 2023, * Higher Rates Hit U.S. GrowthApril 27, 2023, * Denied a Gun License Over School Threat, Accused Leaker Jack Teixeira Later Got Top-Secret ClearanceApril 27, 2023, * Iran Seizes U.S.-Bound Oil TankerApril 27, 2023, * DeSantis’s Miscalculation: ‘Disney Is Playing the Long Game’April 27, 2023, * U.S. Sanctions Russian, Iranian Security Services Over Wrongful DetentionsApril 27, 2023, * Fire Sale: $300 Million San Francisco Office Tower, Mostly Empty. Open to Offers.",,,,,,,6,,,,,,,,13,,,,,,,,,,,,5,,,,,,,,,,,,
5f9b1ec2a1794a2ecec61812,14797_8,"The central bank divided into three camps at its July meeting, the minutes show: those who aren’t ready to move rates up, those who are ready, and those who say the moment is getting closer. Several officials “preferred to defer another rate increase in the federal-funds rate until they were more confident that inflation was moving closer <span>to 2 percent</span> on a sustained basis,” the minutes said. Others believed the U.S. was “at or close” to full employment, meaning a state where unemployment was low, fully recovered from recession and at a point where if it falls much more it could cause more inflation.",,,,,,,,0,,,,,,,,,3,,,,,,,2,,,,,,,,,,,,,,,
