user,instance_id,displayed_text,"Good work! You answered the sample questions correctly. Please confirm that you have read all instructions, because you'll now do 2 examples on your own.:::I have read all provided instructions","If the quantity's general type is 'Macroeconomic / General Economic Conditions', please label the specific macroeconomic indicator. Select 'Not general type 'Macroeconomic / General Economic Conditions'' if the quantity is not relevant to the U.S. economy or is not a macroeconomic / general conditions type.:::Market Numbers (e.g., any financial market)"," If the quantity's general type is 'Macroeconomic / General Economic Conditions', what spin does the writer of the excerpt put on the highlighted quantity?:::Negative (e.g., prices skyrocketed)","The highlighted quantity should have a general type. Please label the type, or select 'Not Relevant' is a date or otherwise not relevant to the U.S. economy:::Macroeconomic / General Economic Conditions (e.g., discusses jobs, housing prices, and oil prices)","frame:::Firm-specific (e.g., discusses stock prices, debt offerings, and capital investments)","frame:::Macroeconomic / General Economic Conditions (e.g., discusses jobs, housing prices, and oil prices)","frame:::Industry-specific (e.g., discusses agricultural prices, manufacturing output, and retail sales)",frame:::Not Relevant to the U.S. Economy,"frame:::Personal (e.g., discusses household expenditures and personal debts)",macro_indicator:::Other,"macro_indicator:::Job Numbers (e.g., jobs, unemployment)","macro_indicator:::Housing (e.g., Start, Sales, Pricing)","macro_indicator:::Interest Rates (e.g., Fed, Mortgage)",macro_indicator:::Currency Values,macro_indicator:::Not general type 'Macroeconomic / General Economic Conditions',macro_indicator:::Not Relevant to the U.S. Economy,"macro_indicator:::Market Numbers (e.g., any financial market)","macro_indicator:::Macroeconomy (e.g., GDP)","macro_indicator:::Prices (e.g., CPI, PPI)","spin:::Neutral (e.g., GDP was worth X US dollars)","spin:::Negative (e.g., prices skyrocketed)",spin:::Not general type 'Macroeconomic / General Economic Conditions',spin:::Not Relevant to the U.S. Economy,"spin:::Positive (e.g., inflation dropped)","Question 1: The highlighted quantity should have a general type. Please label the type, or select 'Not Relevant to the U.S. Economy' if it is a date or otherwise not relevant to the U.S. economy:::Firm-specific (e.g., discusses stock prices, debt offerings, and capital investments)","Question 1: The highlighted quantity should have a general type. Please label the type, or select 'Not Relevant to the U.S. Economy' if it is a date or otherwise not relevant to the U.S. economy:::Macroeconomic / General Economic Conditions (e.g., discusses jobs, housing prices, and oil prices)","Question 2: If the quantity's general type is 'Macroeconomic / General Economic Conditions', please label the specific macroeconomic indicator. Select 'Not general type 'Macroeconomic / General Economic Conditions'' if the quantity is not relevant to the U.S. economy or is not a macroeconomic / general conditions type.:::Housing (e.g., Start, Sales, Pricing)","Question 2: If the quantity's general type is 'Macroeconomic / General Economic Conditions', please label the specific macroeconomic indicator. Select 'Not general type 'Macroeconomic / General Economic Conditions'' if the quantity is not relevant to the U.S. economy or is not a macroeconomic / general conditions type.:::Not general type 'Macroeconomic / General Economic Conditions'","Question 3: If the quantity's general type is 'Macroeconomic / General Economic Conditions', what spin does the writer of the excerpt put on the highlighted quantity?:::Negative (e.g., prices skyrocketed)","Question 3: If the quantity's general type is 'Macroeconomic / General Economic Conditions', what spin does the writer of the excerpt put on the highlighted quantity?:::Not general type 'Macroeconomic / General Economic Conditions'",You have answered all practice questions correctly! You may access the instructions at any time during the study using the links at the top left the screen.:::I have identified the links to the instruction set and codebook,Please note that we reserve the right to reject your annotations if the provided instructions are not followed.:::I understand that my answers will be rejected if I do not follow the instructions
600be42e32909325b20ab5f0,57262_2,"Teton County, home of the Grand Teton National Park and popular ski slopes, has increasingly attracted the uber-rich, boosting the area’s annual per capita asset income to an eye-popping $161,400, EIG found. (Jackson Hole has also led the nation in per capita income, boasting an average of $250,000 per resident <span>in 2018.</span>) Not faring nearly so well at the opposite end of the spectrum in an “asset desert” is Ogala Lakota County — with just $2,800 in asset income per capita, a third of the national average.",,,,,,,,6,,,,,,,,13,,,,,,,5,,,,,,,,,
600be42e32909325b20ab5f0,7188_5,"Although the White House and its allies in the media have attempted to blame ongoing inflation issues on Russian President Vladimir Putin because of his invasion of Ukraine, inflation reports indicated record levels of increase in February, prior to the invasion. Even in Dec. 2021, months before the Ukraine invasion, inflation rose by 6.8%, the largest single increase in <span>almost 40 years</span>. Gas prices have also reached record averages of over $4 a gallon.",,,,,,0,,,,,,,,,,,1,,,,1,,,,,,,,,,,
600be42e32909325b20ab5f0,57892_10,"“Over time, we would expect some correlated stress in communities that are dependent on oil and gas.”  Wells Fargo, the fourth largest U.S. bank by assets, is giving special attention to loans in metropolitan areas where more than 3% of jobs are directly tied to energy production, Mr. Shrewsberry said. The bank’s shares fell <span>around 0.7% on</span> the day. Despite the improved performance of the bank’s holdings of residential mortgages, a worsening of loans to energy companies prompted the bank to hold steady the amount that it had previously set aside to cover losses.",,,,,1,,,,,,,,,,12,,,,,,,4,,,,,,,,,,
600be42e32909325b20ab5f0,26248_12,"Inflation is on the rise. The measure of inflation, called ""core consumer price index,"" in April increased to its highest level in 13 years, to 4.1%, and this is after an increase <span>to 2.6% in</span> March, which was the highest level since 2018. These increased measures of inflation are showing up even before a ""full"" reopening of normal activity across the U.S. economy.",,,,,,0,,,,,,,,,,,1,,,,1,,,,,,,,,,,
600be42e32909325b20ab5f0,91360_0,"Rule required under financial overhaul restricts unchecked ability to lend to banks during crisis  Updated Nov.<span> 30,</span> 2015 4:12 pm ET  The Federal Reserve on Monday adopted a rule curtailing its flexibility to rescue struggling firms during a crisis, seeking to assuage Capitol Hill concerns about the central bank’s broad and largely unchecked powers to pump money into the financial system. The rule was required by the 2010 Dodd-Frank financial overhaul law, which directed the Fed to limit emergency lending to “broad-based” programs rather than to a select few institutions.",,,,,,,,6,,,,,,,,13,,,,,,,5,,,,,,,,,
600be42e32909325b20ab5f0,39304_0,"Agency approved new policy that would unwind Obama-era regulations on internet traffic as part of regulatory rollback  Updated Dec.<span> 14,</span> 2017 5:11 pm ET  WASHINGTON—The Federal Communications Commission Thursday voted to roll back far-reaching rules governing how internet-service providers treat traffic on their networks, a move expected to empower cable and wireless providers and transform consumers’ online experience. The 2015 “net neutrality” rules were one of the signature regulatory actions of the Obama administration, requiring broadband providers to treat all traffic equally, without blocking or slowing content, or providing fast lanes for favored sites and services.",,,,,,,,6,,,,,,,,13,,,,,,,5,,,,,,,,,
600be42e32909325b20ab5f0,23953_2,"The ruble has strengthened considerably in recent weeks. On Thursday, it was hovering close to 49 to the U.S. dollar, after briefly falling <span>to 80 in</span> December. Inflation also significantly slowed in March, Putin said, although it remains at an annualized rate of 11 percent.",,,,,,0,,,,,,,,9,,,,,,,,,,0,,,,,,,,
600be42e32909325b20ab5f0,Economic-Article-Quant-Annotation-instructions3_example.html,instructions3_example,,," If the quantity's general type is 'Macroeconomic / General Economic Conditions', what spin does the writer of the excerpt put on the highlighted quantity?:::Negative (e.g., prices skyrocketed)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600be42e32909325b20ab5f0,50136_5,"WHILE YOU WERE SLEEPING: — “American-led airstrikes killed at least 180 Islamic State fighters as local Kurdish forces scrambled to repel a bold, multi-pronged assault by the militants,” Missy Ryan and Loveday Morris report from Iraq. — Ahead of tomorrow night’s Democratic debate, a fresh Washington Post-ABC News poll shows Clinton with a 2-1 edge over Sanders in the national race:<span> 59 percent</span> of Democratic-leaning registered voters support her, compared to 28 percent for him. He’s down from 34 percent in November.",,,,,,,,6,,,,,,,,13,,,,,,,5,,,,,,,,,
600be42e32909325b20ab5f0,57892_19,"Wells Fargo executives said Wednesday that the bank’s profitability is still better than peers. The firm reported its net interest margin, a measure of how profitably it can lend out its customers’ deposits, fell to 2.96% from 2.97% at the end of June <span>and 3.06% in</span> the third quarter a year ago. That margin has been challenged by the Federal Reserve’s policy of keeping interest rates low, a policy that Wells Fargo executives said would continue for longer than the industry had previously expected.",,,,,1,,,,,,,,,,12,,,,,,,4,,,,,,,,,,
600be42e32909325b20ab5f0,23953_1,"The ruble has strengthened considerably in recent weeks. On Thursday, it was hovering close <span>to 49 to</span> the U.S. dollar, after briefly falling to 80 in December. Inflation also significantly slowed in March, Putin said, although it remains at an annualized rate of 11 percent.",,,,,,0,,,,,,,,9,,,,,,,,,,0,,,,,,,,
600be42e32909325b20ab5f0,12832_6,"Intermediate prices for processed goods—a proxy for the cost of goods such as metals, paint and fuel—rose 4.7% in April from a year earlier, the Labor Department said Wednesday. In that category, gasoline prices were up 14.6% from a year earlier and steel mill products were <span>up 7.4%.</span> Intermediate services prices—everything from warehousing costs to security guards—rose 3.1% from a year earlier.",,,,,1,,,,,,,,,,12,,,,,,,4,,,,,,,,,,
600be42e32909325b20ab5f0,37452_27,"On Wednesday, however, businesses all along the state’s northern border were celebrating the news that in November, fully vaccinated Canadians would again be allowed into the United States via the two nations’ heavily trafficked land crossings. “A simple ‘Yahoo!’ seems to be the right answer,” said Kristy Kennedy, the vice president of marketing and tourism for the North Country Chamber of Commerce, in Plattsburgh, <span>about 25 miles</span> south of Quebec. “We could not be happier.” That sentiment spread across the state to Niagara Falls and other western New York towns and cities, where the border restrictions — and burdensome rules for American travel to Canada — had crippled usually robust business relationships as well as personal ones, separating some extended families for a year or longer.",,,,,,,,6,,,,,,,,13,,,,,,,5,,,,,,,,,
600be42e32909325b20ab5f0,39304_22,"The 2015 “net neutrality” rules were one of the signature regulatory actions of the Obama administration, requiring broadband providers to treat all traffic equally, without blocking or slowing content, or providing fast lanes for favored sites and services. * China Ratchets Up Pressure on Foreign CompaniesApril 27,<span> 2023,</span> * Amazon Rebounds From Postpandemic Doldrums, but Says Cloud Growth Is SlowingApril 27, 2023, * Stocks Rally, Led by NasdaqApril 27, 2023,  * China Ratchets Up Pressure on Foreign CompaniesApril 27, 2023, * Amazon Rebounds From Postpandemic Doldrums, but Says Cloud Growth Is SlowingApril 27, 2023, * Stocks Rally, Led by NasdaqApril 27, 2023, * Higher Rates Hit U.S. GrowthApril 27, 2023, * Denied a Gun License Over School Threat, Accused Leaker Jack Teixeira Later Got Top-Secret ClearanceApril 27, 2023, * Iran Seizes U.S.-Bound Oil TankerApril 27, 2023, * DeSantis’s Miscalculation: ‘Disney Is Playing the Long Game’April 27, 2023, * U.S. Sanctions Russian, Iranian Security Services Over Wrongful DetentionsApril 27, 2023, * Fire Sale: $300 Million San Francisco Office Tower, Mostly Empty. Open to Offers.",,,,,,,,6,,,,,,,,13,,,,,,,5,,,,,,,,,
600be42e32909325b20ab5f0,Economic-Article-Quant-Annotation-example1.html,example1,,,,,,,,,,,,,,,,,,,,,,,,,"Question 1: The highlighted quantity should have a general type. Please label the type, or select 'Not Relevant to the U.S. Economy' if it is a date or otherwise not relevant to the U.S. economy:::Firm-specific (e.g., discusses stock prices, debt offerings, and capital investments)",,,"Question 2: If the quantity's general type is 'Macroeconomic / General Economic Conditions', please label the specific macroeconomic indicator. Select 'Not general type 'Macroeconomic / General Economic Conditions'' if the quantity is not relevant to the U.S. economy or is not a macroeconomic / general conditions type.:::Not general type 'Macroeconomic / General Economic Conditions'",,"Question 3: If the quantity's general type is 'Macroeconomic / General Economic Conditions', what spin does the writer of the excerpt put on the highlighted quantity?:::Not general type 'Macroeconomic / General Economic Conditions'",,
600be42e32909325b20ab5f0,12832_4,"But “going forward, product prices must reflect the true cost because we cannot subsidize the increased freight.” Across industries, input prices began climbing in 2016 and are outpacing overall inflation. Intermediate prices for processed goods—a proxy for the cost of goods such as metals, paint and fuel—<span>rose 4.7% in</span> April from a year earlier, the Labor Department said Wednesday. In that category, gasoline prices were up 14.6% from a year earlier and steel mill products were up 7.4%.",,,,,,,2,,,,,,,,12,,,,,,,4,,,,,,,,,,
600be42e32909325b20ab5f0,77015_20,"Now, Starbucks is betting people will pay as much as $1 an ounce. * U.S. Stocks Rally; Meta Shares JumpLive Coverage, * Consumers Prop Up Economy as Higher Rates Hit GrowthApril 27,<span> 2023,</span> * Chinese Authorities Question Bain Staff in ShanghaiApril 27, 2023,  * U.S. Stocks Rally; Meta Shares JumpLive Coverage, * Consumers Prop Up Economy as Higher Rates Hit GrowthApril 27, 2023, * Chinese Authorities Question Bain Staff in ShanghaiApril 27, 2023, * Why No Buyer Has Emerged for First RepublicApril 27, 2023, * Lyft Says it Will Cut More Than 1,000 People in New Round of LayoffsApril 27, 2023, * Iran Seizes U.S.-Bound Oil TankerApril 27, 2023, * DeSantis’s Miscalculation: ‘Disney Is Playing the Long Game’April 27, 2023, * U.S. Sanctions Russian, Iranian Security Services Over Wrongful DetentionsApril 27, 2023, * Fire Sale: $300 Million San Francisco Office Tower, Mostly Empty. Open to Offers.",,,,,,,,6,,,,,,,,13,,,,,,,5,,,,,,,,,
600be42e32909325b20ab5f0,37452_1,"Moderna said the mean antibody level of participants in its study was 1.8 times higher after the booster than it was after the second shot. In another measurement, the booster raised neutralizing antibodies at least fourfold <span>in 87.9 percent</span> of people compared to after the second dose, narrowly failing to meet the agency’s requirement of 88.4 percent. Given that Moderna’s vaccine appears to still strongly protect against severe disease, at least some committee members are expected to balk at recommending a third dose.",,,,,,,,6,,,,,,,,13,,,,,,,5,,,,,,,,,
600be42e32909325b20ab5f0,90411_8,"The limited differences between the new and old treaties, coupled with changes in the U.S. labor force over the past quarter-century, would minimize the economic benefits, Caliendo said. Much of the work that has moved to Mexico <span>since 1994,</span> when the original deal took effect, would be ill-suited for the higher-skilled contemporary U.S. labor force, according to Caliendo. “I expect very small aggregate effects,” he wrote in an email.",,,,,,,,6,,,,,,,,13,,,,,,,5,,,,,,,,,
600be42e32909325b20ab5f0,63152_3,"And in the 1970s, Mrs. Schlafly’s campaign against the Equal Rights Amendment played a large part in its undoing. The amendment would have expanded women’s rights by barring any gender-based distinctions in federal and state laws, and it was within hailing distance of becoming the law of the land: Both houses of Congress had passed it by a vote of more <span>than 90 percent</span>, and 35 state legislatures — only three shy of the number required for adoption — had approved it. But the amendment lost steam in the late 1970s under pressure from Mrs. Schlafly’s volunteer brigades — mainly women, most of them churchgoing Christians (Mrs. Schlafly was Roman Catholic) and not a few of them lugging apple pies to cajole legislators.",,,,,,,,6,,,,,,,,13,,,,,,,5,,,,,,,,,
600be42e32909325b20ab5f0,50136_14,"— Another fresh poll this morning shows very little change in the GOP race after the Las Vegas debate. A Morning Consult survey that was in the field the past two nights puts Trump at 36 percent nationally, to 12 percent for Ben Carson,<span> 11 percent</span> for Cruz, 9 percent for Rubio and 7 percent for Jeb. That’s basically the same as their poll conducted during the three days before the debate.",,,,,,,,6,,,,,,,,13,,,,,,,5,,,,,,,,,
600be42e32909325b20ab5f0,11647_2,"Speaking before House committee, emphasizes no decision has been made yet  Updated Nov. 4, 2015 4:09 pm ET  The Federal Reserve may raise short-term interest rates in mid-December so long as the U.S. economy remains on track, Chairwoman Janet Yellen said Wednesday. The Fed expects that “the economy will continue to grow at a pace that is sufficient to generate further improvements in the labor market and to return inflation to <span>our 2% target</span> over the medium term, and if the incoming information supports that expectation, then... December would be a live possibility,” Ms. Yellen said while testifying before the House Financial Services Committee. “But importantly, we’ve made no decision about it.”  Her remarks were echoed later Wednesday by Federal Reserve Bank of New York President William Dudley, who serves as vice chairman of the Fed’s rate-setting committee.",,,,,,0,,,,,,,,,,,1,,,2,,,,,,,,,,,,
600be42e32909325b20ab5f0,Economic-Article-Quant-Annotation-confirm.html,confirm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,You have answered all practice questions correctly! You may access the instructions at any time during the study using the links at the top left the screen.:::I have identified the links to the instruction set and codebook,Please note that we reserve the right to reject your annotations if the provided instructions are not followed.:::I understand that my answers will be rejected if I do not follow the instructions
600be42e32909325b20ab5f0,42077_33,"The city estimated that if the scientific errors were removed from FEMA’s revision, the number of people in the flood zone could increase by 6 percent to 230,000 over the 1983 maps, and the number of one- to four-family buildings could grow by 38 percent to 36,000. Both increases would be much smaller than <span>the 100 percent</span> jumps suggested by FEMA’s initial maps.Continue reading the main story The Most Vulnerable ZIP Code When homeowners suffer flood damage, they file claims. And of the 116 properties in New York City that have filed multiple FEMA claims in the last 20 years, more than a quarter have not been in the flood zone, according to an analysis prepared for The New York Times by the Natural Resources Defense Council.",,,,,,0,,,,,,2,,,,,,,,2,,,,,,,,,,,,
600be42e32909325b20ab5f0,Economic-Article-Quant-Annotation-instructions1_example.html,instructions1_example,,,,"The highlighted quantity should have a general type. Please label the type, or select 'Not Relevant' is a date or otherwise not relevant to the U.S. economy:::Macroeconomic / General Economic Conditions (e.g., discusses jobs, housing prices, and oil prices)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
600be42e32909325b20ab5f0,90411_5,"“You do that for political reasons. But all we do is open ourselves up to criticism and make ourselves look bad.” As economists and trade analysts sorted through <span>the 1,800</span>-plus pages of the new accord, they saw few signs of major change. Lorenzo Caliendo, an economics professor at Yale University’s School of Management who co-authored a NAFTA study published in 2015 that concluded each American had gained about $45 a year from that treaty, said the new agreement would “clearly not” return significant numbers of manufacturing jobs to the United States.",,,,,,,,6,,,,,,,,13,,,,,,,5,,,,,,,,,
600be42e32909325b20ab5f0,40639_1,"He will step down early to ensure a successor is in place well before his term ends in January 2019  Updated Nov.<span> 6,</span> 2017 2:00 pm ET  The Federal Reserve Bank of New York announced Monday that its leader William Dudley is planning to step down early and retire in the middle of next year. In a press release, the bank said Mr. Dudley is planning to leave ahead of the end of his current term’s conclusion in January 2019 “to ensure that a successor is in place well before the end of his term.”  Mr. Dudley’s impending retirement had been a matter of speculation for central bank observers for a while, but many were caught off guard by the accelerated timetable.",,,,,,,,6,,,,,,,,13,,,,,,,5,,,,,,,,,
600be42e32909325b20ab5f0,7188_7,"Rubin being one of those media figures, has criticized what she claimed were ""false"" and ""untrue"" accusations from the GOP on domestic drilling and the Keystone XL Pipeline. In the same poll referenced by Rubin, the Biden administration has <span>a 58% disapproval</span> rating on the economy, a 12-month high according to the data.",,,,,,,,6,,,,,,,,13,,,,,,,5,,,,,,,,,
600be42e32909325b20ab5f0,7402_4,"ET Unemployment in the United States has reached its highest levels since the Great Depression, a horrifying milestone that may take the country years to recover from. <span>Some 20.5 million</span> jobs disappeared in the worst monthly loss on record, meaning that nearly all of the job growth since the 2008 recession has been lost in one month. The new coronavirus has wrought economic devastation with stunning speed, considering the unemployment rate was just 3.5% in February.",,,,,,0,,,,,0,,,,,,,,,,1,,,,,,,,,,,
600be42e32909325b20ab5f0,42077_14,"Indeed, the maps have been long been viewed as inexact. One recent federal report estimated there was <span>a 40 percent</span> “uncertainty of flood predictions.” In 2015, in its highly technical 180-page challenge to FEMA’s proposed new maps, the city argued that the federal agency had overstated the base flood elevation — the height of flooding that might be expected in a 100-year flood — by two feet in some areas. FEMA also inflated the flood zone area by a third, the city claimed, “unnecessarily putting approximately 26,000 buildings and 170,000 residents” in higher-risk locations and “causing an affordability challenge.” In March, at the city’s request, the RAND Corporation detailed the maps’ potential impact in Brooklyn, Queens and Staten Island.",,,,,,,,6,,,,,,,,13,,,,,,,5,,,,,,,,,
600be42e32909325b20ab5f0,77015_15,"Now, Starbucks is betting people will pay as much as $1 an ounce. * U.S. Stocks Rally; Meta Shares JumpLive Coverage, * Consumers Prop Up Economy as Higher Rates Hit GrowthApril 27,<span> 2023,</span> * Chinese Authorities Question Bain Staff in ShanghaiApril 27, 2023,  * U.S. Stocks Rally; Meta Shares JumpLive Coverage, * Consumers Prop Up Economy as Higher Rates Hit GrowthApril 27, 2023, * Chinese Authorities Question Bain Staff in ShanghaiApril 27, 2023, * Why No Buyer Has Emerged for First RepublicApril 27, 2023, * Lyft Says it Will Cut More Than 1,000 People in New Round of LayoffsApril 27, 2023, * Iran Seizes U.S.-Bound Oil TankerApril 27, 2023, * DeSantis’s Miscalculation: ‘Disney Is Playing the Long Game’April 27, 2023, * U.S. Sanctions Russian, Iranian Security Services Over Wrongful DetentionsApril 27, 2023, * Fire Sale: $300 Million San Francisco Office Tower, Mostly Empty. Open to Offers.",,,,,,,,6,,,,,,,,13,,,,,,,5,,,,,,,,,
600be42e32909325b20ab5f0,14981_17,"Also high on the sell list: crypto. So far this year, bitcoin has lost more than half of its value and currently trades at its lowest level since <span>late 2020.</span> Ethereum, another popular cryptocurrency, has fallen around 68% so far this year.",,,,,,,,6,,,,,,,,13,,,,,,,5,,,,,,,,,
