user,instance_id,displayed_text,"Good work! You answered the sample questions correctly. Please confirm that you have read all instructions, because you'll now do 2 examples on your own.:::I have read all provided instructions"," If the quantity's general type is 'Macroeconomic / General Economic Conditions', what spin does the writer of the excerpt put on the highlighted quantity?:::Negative (e.g., prices skyrocketed)","Question 1: The highlighted quantity should have a general type. Please label the type, or select 'Not Relevant to the U.S. Economy' if it is a date or otherwise not relevant to the U.S. economy:::Macroeconomic / General Economic Conditions (e.g., discusses jobs, housing prices, and oil prices)","Question 1: The highlighted quantity should have a general type. Please label the type, or select 'Not Relevant to the U.S. Economy' if it is a date or otherwise not relevant to the U.S. economy:::Firm-specific (e.g., discusses stock prices, debt offerings, and capital investments)","Question 2: If the quantity's general type is 'Macroeconomic / General Economic Conditions', please label the specific macroeconomic indicator. Select 'Not general type 'Macroeconomic / General Economic Conditions'' if the quantity is not relevant to the U.S. economy or is not a macroeconomic / general conditions type.:::Housing (e.g., Start, Sales, Pricing)","Question 2: If the quantity's general type is 'Macroeconomic / General Economic Conditions', please label the specific macroeconomic indicator. Select 'Not general type 'Macroeconomic / General Economic Conditions'' if the quantity is not relevant to the U.S. economy or is not a macroeconomic / general conditions type.:::Not general type 'Macroeconomic / General Economic Conditions'","Question 3: If the quantity's general type is 'Macroeconomic / General Economic Conditions', what spin does the writer of the excerpt put on the highlighted quantity?:::Not general type 'Macroeconomic / General Economic Conditions'","Question 3: If the quantity's general type is 'Macroeconomic / General Economic Conditions', what spin does the writer of the excerpt put on the highlighted quantity?:::Negative (e.g., prices skyrocketed)","The highlighted quantity should have a general type. Please label the type, or select 'Not Relevant' is a date or otherwise not relevant to the U.S. economy:::Macroeconomic / General Economic Conditions (e.g., discusses jobs, housing prices, and oil prices)",You have answered all practice questions correctly! You may access the instructions at any time during the study using the links at the top left the screen.:::I have identified the links to the instruction set and codebook,Please note that we reserve the right to reject your annotations if the provided instructions are not followed.:::I understand that my answers will be rejected if I do not follow the instructions,"If the quantity's general type is 'Macroeconomic / General Economic Conditions', please label the specific macroeconomic indicator. Select 'Not general type 'Macroeconomic / General Economic Conditions'' if the quantity is not relevant to the U.S. economy or is not a macroeconomic / general conditions type.:::Market Numbers (e.g., any financial market)","frame:::Government revenue and expenses (e.g., discusses taxes, budgets, and treasury issuances)","frame:::Macroeconomic / General Economic Conditions (e.g., discusses jobs, housing prices, and oil prices)","frame:::Firm-specific (e.g., discusses stock prices, debt offerings, and capital investments)","frame:::Industry-specific (e.g., discusses agricultural prices, manufacturing output, and retail sales)",frame:::Not Relevant to the U.S. Economy,frame:::Other,"macro_indicator:::Housing (e.g., Start, Sales, Pricing)",macro_indicator:::Not general type 'Macroeconomic / General Economic Conditions',macro_indicator:::Retail Sales,"macro_indicator:::Market Numbers (e.g., any financial market)","macro_indicator:::Job Numbers (e.g., jobs, unemployment)","macro_indicator:::Interest Rates (e.g., Fed, Mortgage)",macro_indicator:::Other,"macro_indicator:::Macroeconomy (e.g., GDP)",macro_indicator:::Not Relevant to the U.S. Economy,"macro_indicator:::Prices (e.g., CPI, PPI)","spin:::Neutral (e.g., GDP was worth X US dollars)","spin:::Negative (e.g., prices skyrocketed)",spin:::Not Relevant to the U.S. Economy,"spin:::Positive (e.g., inflation dropped)"
60ff8160e8f2227f8b200510,46412_20,"The Nasdaq Composite fell 151.12 points, or 2.1%, to 7167.21, paring much of Thursday’s rebound and putting it down 11% for the month. Shares of Amazon slumped $139.36, or 7.8%, to $1,642.81 to approach a bear market—characterized by a decline of at least 20% from a recent high—while Alphabet fell <span>nearly 2%.</span> Netflix slumped to bring its October declines to 20%, and Facebook and Apple, which both report earnings next week, also slipped.",,,,,,,,,,,,,,0,,,,,,,,1,,,,,,,,1,,
60ff8160e8f2227f8b200510,16030_15,"She last wrote about the psychologist Walter Mischel. Related Coverage - Decades on the Job, and Counting Feb.<span> 21,</span> 2019 - The $15 Minimum Wage Doesn’t Just Improve Lives, It Saves Them Feb. 21, 2019 - The Rise of the WeWorking Class Feb. 21, 2019 - America’s Professional Elite: Wealthy, Successful and Miserable Feb. 21, 2019 - The New Labor Movement Fighting for Domestic Workers’ Rights Feb. 21, 2019 - Why Aren’t Women Advancing More in Corporate America? Feb. 21, 2019",,,,,,,,,,,,,,,,,6,,,,,,,,,,13,,,,5,
60ff8160e8f2227f8b200510,18876_0,"That’s a worry, because typically these more wonky areas of finance only become interesting when something is going wrong. The overnight repo rate, which is what banks and other financial players charge each other to lend cash in exchange for supersafe bonds, should be close <span>to 2%,</span> but it shot up almost as high as 10% on Tuesday. One of the underlying causes of this is a scarcity of reserves compared with the amount of Treasury bonds in the market.",,,,,,,,,,,,,,0,,,,,,,,,,8,,,,,,1,,
60ff8160e8f2227f8b200510,87390_21,"“New concerns about the covid variant globally have also raised concerns of continued growth being slower than expected, so a return to the lows for the year [is] quite possible in the weeks ahead.” Meanwhile, mortgage applications slumped last week. According to the latest data from the Mortgage Bankers Association, the market composite index — a measure of total loan application volume — <span>decreased 4 percent</span> from a week earlier. The refinance index fell 3 percent, while the purchase index dropped 6 percent.",,,,,,,,,,,,,,0,,,,,2,,,,,,,,,,,1,,
60ff8160e8f2227f8b200510,24581_2,"Forecasters in the U.S., Australia and Japan have confirmed El Niño is back  Updated July 5, 2015 6:30 pm ET  WELLINGTON, New Zealand—Fears that the El Niño weather phenomenon will wreak havoc this summer have sent prices of wheat, corn and soybeans higher in recent weeks, as commodity investors, farmers and traders prepare for low crop yields. Government forecasters in the U.S., Australia and Japan have in recent weeks confirmed El Niño is back for the first time since the 2009-10 farming season, thanks to <span>a 4% temperature</span> rise in subsurface sea temperatures in the eastern Pacific Ocean. The price increases over the past two weeks, in part thanks to fears El Niño will cause excessive dryness in important crop-growing regions, follow a long period of relative stability.",,,,,,,,,,,,,,,,2,,,,,7,,,,,,,,,1,,
60ff8160e8f2227f8b200510,65531_70,"Giant Combination A combined AT&T-Time Warner would dwarf traditional media firms but lag behind new internet players in market value. Market capitalization, in billions AT&T-Time Warner $302 billion CONTENT Comcast* 167 Disney 156 Fox 69 CBS 20 Viacom 13 Discovery 9 Verizon DELIVERY 197 Comcast 167 Charter 83 T-Mobile 55 Sprint 21 Dish 19 Alphabet INTERNET 798 Amazon 772 Facebook 533 Netflix<span> 139 </span>*owns NBC/Universal Note: As of March 14 Source: FactSet By joining forces, the companies have said publicly and in court documents, they can create a unique platform that allows advertisers to buy commercials targeted to specific viewers, creating an alternative to Google and Facebook, which have built businesses using consumer data to sell targeted ads. Bad blood High-stakes litigation always tends to produce bad blood, but the level of hostility in the AT&T case has been pronounced.",,,,,,,,,,,,,,,1,,,,,12,,,,,,,,,2,,,
60ff8160e8f2227f8b200510,28210_11,"The Astros also lost Nolan Ryan, the Hall of Famer and team icon, who quit as an executive adviser after the team owner Jim Crane elevated his son Jared in the team’s hierarchy and demoted Ryan’s son Reid, who had been president of business operations. But the worst news, by far, came on Nov.<span> 12,</span> when The Athletic published a story in which the former Astros pitcher Mike Fiers confirmed the team’s sign-stealing methods in 2017: Players decoded the catcher’s signals from a live video feed, then communicated the signal to the hitter by banging a trash can in the tunnel near the dugout. Over the next two months, Commissioner Rob Manfred’s investigators interviewed 68 witnesses, including 23 current and former Astros players, and scoured thousands of emails, Slack communications, text messages and videos.",,,,,,,,,,,,,,,,,6,,,,,,,,,,13,,,,5,
60ff8160e8f2227f8b200510,83514_9,"The cigarette smoking rate has been declining in the U.S. for decades, though it rose slightly in 2020 when the pandemic hit. About 12.5% of adults in the U.S., or 30.8 million people, were cigarette smokers <span>in 2020,</span> according to the Centers for Disease Control and Prevention. U.S. cigarette sales are expected to drop this year to about $95 billion from $99 billion last year, according to Euromonitor International.",,,,,,,,,,,,,,,,,6,,,,,,,,,,13,,,,5,
60ff8160e8f2227f8b200510,3307_16,"The Bengals, meanwhile, had not won a playoff game since the 1990 wild-card round. This year’s Cincinnati team is also the youngest Super Bowl roster ever, with an average age <span>of 25.8 years</span>, according to an analysis by the website FiveThirtyEight. But despite the Bengals’ relative youth, Coach Zac Taylor pointed to the big-stage experience many of his players earned in college or on other N.F.L.",,,,,,,,,,,,,,,,,6,,,,,,,,,,13,,,,5,
60ff8160e8f2227f8b200510,Economic-Article-Quant-Annotation-instructions1_example.html,instructions1_example,,,,,,,,,"The highlighted quantity should have a general type. Please label the type, or select 'Not Relevant' is a date or otherwise not relevant to the U.S. economy:::Macroeconomic / General Economic Conditions (e.g., discusses jobs, housing prices, and oil prices)",,,,,,,,,,,,,,,,,,,,,,,
60ff8160e8f2227f8b200510,16030_24,"She last wrote about the psychologist Walter Mischel. Related Coverage - Decades on the Job, and Counting Feb.<span> 21,</span> 2019 - The $15 Minimum Wage Doesn’t Just Improve Lives, It Saves Them Feb. 21, 2019 - The Rise of the WeWorking Class Feb. 21, 2019 - America’s Professional Elite: Wealthy, Successful and Miserable Feb. 21, 2019 - The New Labor Movement Fighting for Domestic Workers’ Rights Feb. 21, 2019 - Why Aren’t Women Advancing More in Corporate America? Feb. 21, 2019",,,,,,,,,,,,,,,,,6,,,,,,,,,,13,,,,5,
60ff8160e8f2227f8b200510,24581_5,"That warms water over a vast area, which in turn can upend weather patterns around the world; it typically reduces rainfall in Australia and across parts of southeast and southern Asia. In the past, nonfuel commodity prices have risen <span>by 5.3% on</span> average in the 12 months following the announcement of an El Niño event, according to an International Monetary Fund working paper. In some years, the effect has been far more dramatic.",,,,,,,,,,,,,,0,,,,,,,,,,,,,,5,,1,,
60ff8160e8f2227f8b200510,Economic-Article-Quant-Annotation-confirm.html,confirm,,,,,,,,,,You have answered all practice questions correctly! You may access the instructions at any time during the study using the links at the top left the screen.:::I have identified the links to the instruction set and codebook,Please note that we reserve the right to reject your annotations if the provided instructions are not followed.:::I understand that my answers will be rejected if I do not follow the instructions,,,,,,,,,,,,,,,,,,,,,
60ff8160e8f2227f8b200510,68812_6,"But the war in Ukraine, which disrupted oil and good supplies, added to the problem. And while oil prices have since come down, inflation pressures are now bubbling across the economy, with the most recent data showing inflation <span>at 8.3% in</span> August, with big increases in housing, health care and education costs. Wages, while rising, have not kept pace, hurting household budgets.",,,,,,,,,,,,,,0,,,,,,,,,,,,,,5,,1,,
60ff8160e8f2227f8b200510,77931_76,"Disease-modeling experts have estimated that on average, each infected person has transmitted the virus to about 2.6 others, though the range is between 1.5 and 3.5 and one recent report put that number as high as 5.7 for the epidemic in China. Those rates are higher than for some influenza viruses; some are lower than for SARS; and they are far lower than for measles, in which one infected person can transmit the virus to 12 to<span> 18 other</span> people. Public-health experts caution that these estimates are preliminary, change over time and can be lowered by measures to prevent the virus from spreading.",,,,,,,,,,,,,,,,,6,,,,,,,,,,13,,,,5,
60ff8160e8f2227f8b200510,77623_34,"A tornado in southern New Jersey leveled a stretch of houses. A preliminary report by the National Weather Service determined that the tornado that hit Mullica Hill, N.J., was an F-3 in strength with estimated winds <span>of 150 miles</span> per hour. Some rivers in New Jersey and Pennsylvania were still rising.",,,,,,,,,,,,,,,,,6,,,,,,,,,,13,,,,5,
60ff8160e8f2227f8b200510,3989_2,"- The Fed’s Pivot: Jerome Powell’s abrupt change of course moved the central bank into inflation-fighting mode. - Fastest Inflation in Decades: The Consumer Price Index rose 6.8 percent in November from a year earlier, its sharpest increase <span>since 1982.</span> - Why Washington Is Worried: Policymakers are acknowledging that price increases have been proving more persistent than expected.",,,,,,,,,,,,,,,,,6,,,,,,,,,,13,,,,5,
60ff8160e8f2227f8b200510,24581_14,"“We don’t have a lot of moisture in the bank and we are a little bit worried about the forecast. We could do with the rain,” said Mr. Hansen, who added June’s rainfall was <span>only 20% of</span> its normal level. He said making sure there were no weeds taking water away from the wheat crop was one of the few things he could do to combat El Niño.",,,,,,,,,,,,,,,,2,,,,,,,,,11,,,,,1,,
60ff8160e8f2227f8b200510,93420_26,"Mr. Powell didn’t delve into specifics, including how many bonds the Fed would buy and how quickly it would do so, but he said the Fed was close to completing and announcing its plans. Reserves dropped to less <span>than $1.4 trillion</span> last month, from $2.8 trillion in 2014, when the Fed stopped buying assets. Most of the decline occurred over the past two years after the Fed pared its asset holdings by allowing some bonds to mature without replacing them.",,,,,,,,,,,,,,0,,,,,,,,,,,,3,,,,1,,
60ff8160e8f2227f8b200510,42091_14,"Some of these companies underperformed the broader market Tuesday, with Facebook Inc., Netflix and Amazon.com Inc. dropping at least 2% as the S&P 500 shed 0.8%. Momentum stocks haven’t been as widely held as they are now <span>since 2016,</span> according to Wolfe Research, as investors large and small have piled into winners. The firm analyzes bearish interest in different sectors to gauge sentiment.",,,,,,,,,,,,,,,,,6,,,,,,,,,,13,,,,5,
60ff8160e8f2227f8b200510,93420_0,"Purchases of Treasurys will rebuild buffer after recent funding market volatility  Updated Oct.<span> 8,</span> 2019 6:01 pm ET  DENVER—The Federal Reserve will soon increase its purchases of short-term Treasury securities to avoid a recurrence of the unexpected strains experienced in money markets last month, Fed Chairman Jerome Powell said Tuesday. Fed officials stopped shrinking the assets on their balance sheet in August but never said when they would allow the balance sheet to grow again.",,,,,,,,,,,,,,,,,6,,,,,,,,,,13,,,,5,
60ff8160e8f2227f8b200510,38269_18,"Before the service, Vice President Kamala Harris and her husband, Doug Emhoff, also paid their respects. Mr. Sicknick’s remains were delivered to the Capitol on Tuesday evening, passing through a set of doors still shattered from the events of Jan.<span> 6.</span> Officers from his unit, some on mountain bikes, lined up near the steps outside.",,,,,,,,,,,,,,,,,6,,,,,,,,,,13,,,,5,
60ff8160e8f2227f8b200510,28210_8,"On Oct. 19, life was grand for the Astros. After leading the majors with 107 wins in the regular season, they clinched their second World Series berth in three years with a towering home run by Jose Altuve off the Yankees’ Aroldis Chapman in <span>Game 6 of</span> the American League Championship Series. Yet almost from the moment that drive cleared the left field fence, the organization descended into chaos.",,,,,,,,,,,,,,,,,6,,,,,,,,,,13,,,,5,
60ff8160e8f2227f8b200510,77623_31,"Jon Hurdle and Advertisement In the aftermath of a ferocious storm caused by the remnants of Hurricane Ida that killed more than three dozen people in four states, national and local leaders acknowledged Thursday that extreme weather events posed an urgent and ongoing threat. The storm killed at <span>least 43 people</span> in New York, New Jersey, Pennsylvania and Connecticut and left more than 150,000 homes without power. States of emergency remained in effect across the region by midday Thursday, as officials sought to get a handle on the damage.",,,,,,,,,,,,,,,,,6,,,,,,,,,,13,,,,5,
60ff8160e8f2227f8b200510,3307_11,"The temperature at kickoff was 84 degrees at Super Bowl VII in 1973, which was also held in Los Angeles. At Super Bowl XXXVII in 2003 in San Diego, it <span>was 81 degrees</span> at kickoff. Across the country, cities are smashing heat records more frequently as climate change widens the extremes of temperature ranges worldwide: More heat and cold records were set in the United States last year than in any other year since 1994, according to a New York Times analysis.",,,,,,,,,,,,,,,,,6,,,,,,,,,,13,,,,5,
60ff8160e8f2227f8b200510,27095_23,"Saumya Vaishampayan contributed to this article. Write to Min Zeng at min.zeng@wsj.com  87990cbe856818d5eddac44c7b1cdeb8  Appeared in the October 13,<span> 2016,</span> print edition as 'Dollar Clouds Rate Path'.",,,,,,,,,,,,,,,,,6,,,,,,,,,,13,,,,5,
60ff8160e8f2227f8b200510,38269_35,"Sixteen percent of Republicans said they were unsure. The poll also showed majority support for several other Democratic priorities: 65 percent of respondents supported a path to citizenship for undocumented immigrants, 63 percent supported Mr. Biden’s decision to rejoin the Paris climate agreement, 61 percent supported raising the federal minimum wage to $15 an hour, <span>and 54 percent</span> supported a decision to stop construction on former President Donald J. Trump’s border wall. The poll, conducted from Jan. 28 through Feb. 1, has a margin of error of plus or minus three percentage points.",,,,,,,,,,,,,,,,,,5,,12,,,,,,,,,2,,,
60ff8160e8f2227f8b200510,Economic-Article-Quant-Annotation-instructions_confirm.html,instructions_confirm,"Good work! You answered the sample questions correctly. Please confirm that you have read all instructions, because you'll now do 2 examples on your own.:::I have read all provided instructions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60ff8160e8f2227f8b200510,Economic-Article-Quant-Annotation-instructions3_example.html,instructions3_example,," If the quantity's general type is 'Macroeconomic / General Economic Conditions', what spin does the writer of the excerpt put on the highlighted quantity?:::Negative (e.g., prices skyrocketed)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60ff8160e8f2227f8b200510,77623_10,"It was a bit of welcome news for residents who had evacuated the area as the Caldor fire pushed aggressively east toward the border of California and Nevada. It has burned more than 210,000 acres, <span>destroying 811 structures</span> and injuring five people. “I feel relieved down here, but I still have a knot in my stomach for what’s going on in the South Lake Tahoe area,” said the Rev.",,,,,,,,,,,,,,,,,6,,,,,,,,,,13,,,,5,
60ff8160e8f2227f8b200510,59610_53,"Anyone claiming otherwise is simply uninformed or seeking media attention,"" Stafford said. Earlier this week, Stafford and Paul both tweeted a link to a Breitbart story that cast a doubt on a report by the New York Times that pointed to landscaping issues as the origin of the altercation: November<span> 8,</span> 2017 November 8, 2017 Paul's 59-year-old neighbor, Rene Boucher, pleaded not guilty to a misdemeanor assault charge yesterday. He faces the potential for much more serious federal and state felony charges as the investigation into the incident continues, Ed O’Keefe and Brandon Gee report, and a pretrial conference was set for Nov. 30.",,,,,,,,,,,,,,,,,6,,,,,,,,,,13,,,,5,
60ff8160e8f2227f8b200510,15267_1,"The unemployment rate remained 3.7% in November, which is historically low. In new projections published Wednesday, the Fed’s decision-makers said they expect unemployment to rise <span>to 4.6% next</span> year, which could represent a recessionary amount of job losses. Powell said that the projected increase in unemployment would not necessarily indicate a recession, but declined to say whether he thought higher unemployment would result more from job losses or just less employer demand for workers.",,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,1,,
60ff8160e8f2227f8b200510,2657_42,"All I thought was that I would like to not get Covid.” Mr. Pollard’s daughter Lynda Hayden drove him to a hospital for the shot. “Honestly, he’s my hero, nobody believes he’<span>s 90,</span>” she said. “He’s just genuinely so kindhearted.” Now, for Mr. Pollard, there is finally some hope of a return to normalcy — to his bus trips to the beach and celebrations surrounded by family “The worst thing was wondering when it was ever going to end,” Mr. Pollard said.",,,,,,,,,,,,,,,,,6,,,,,,,,,,13,,,,5,
60ff8160e8f2227f8b200510,13006_6,| 4. Seahawks’ strife |<span> 5.</span> Ravens’ OTA injuries 6.,,,,,,,,,,,,,,,,,6,,,,,,,,,,13,,,,5,
60ff8160e8f2227f8b200510,38269_36,"The poll also showed majority support for several other Democratic priorities: 65 percent of respondents supported a path to citizenship for undocumented immigrants, 63 percent supported Mr. Biden’s decision to rejoin the Paris climate agreement, 61 percent supported raising the federal minimum wage to $15 an hour, and 54 percent supported a decision to stop construction on former President Donald J. Trump’s border wall. The poll, conducted from Jan.<span> 28 through</span> Feb. 1, has a margin of error of plus or minus three percentage points. Congressional leaders received low approval ratings across the board, but Democrats fared better than Republicans.",,,,,,,,,,,,,,,,,6,,,,,,,,,,13,,,,5,
60ff8160e8f2227f8b200510,27095_16,"The so-called 10-year break-even rate, the yield spread between the 10-year Treasury note and the 10-year Treasury inflation-protected security, was 1.65 percentage point late Wednesday, a five-month high, according to Tradeweb. The figure suggests investors expect annual U.S. inflation of 1.65% in the <span>next 10 years</span>. To be sure, few believe inflation is making significant inroads at the moment.",,,,,,,,,,,,,,,,,6,,,,,,,,,,13,,,,5,
60ff8160e8f2227f8b200510,93420_32,"Fed policy makers set their fed-funds rate to influence a suite of short-term rates at which banks lend to each other overnight, including in the “repo” market for collateralized short-term loans. A sudden shortage of cash in this market caused repo rates to surge on Sept.<span> 16 and</span> 17, prompting the Fed intervention. The repo market is an arcane but important part of the financial system.",,,,,,,,,,,,,,,,,6,,,,,,,,,,13,,,,5,
60ff8160e8f2227f8b200510,Economic-Article-Quant-Annotation-instructions2_example.html,instructions2_example,,,,,,,,,,,,"If the quantity's general type is 'Macroeconomic / General Economic Conditions', please label the specific macroeconomic indicator. Select 'Not general type 'Macroeconomic / General Economic Conditions'' if the quantity is not relevant to the U.S. economy or is not a macroeconomic / general conditions type.:::Market Numbers (e.g., any financial market)",,,,,,,,,,,,,,,,,,,,
