user,instance_id,displayed_text,"If the quantity's general type is 'Macroeconomic / General Economic Conditions', please label the specific macroeconomic indicator. Select 'Not general type 'Macroeconomic / General Economic Conditions'' if the quantity is not relevant to the U.S. economy or is not a macroeconomic / general conditions type.:::Market Numbers (e.g., any financial market)","If the quantity's general type is 'Macroeconomic / General Economic Conditions', please label the specific macroeconomic indicator. Select 'Not general type 'Macroeconomic / General Economic Conditions'' if the quantity is not relevant to the U.S. economy or is not a macroeconomic / general conditions type.:::Not general type 'Macroeconomic / General Economic Conditions'",frame:::Not Relevant to the U.S. Economy,"frame:::Personal (e.g., discusses household expenditures and personal debts)",frame:::Other,"frame:::Firm-specific (e.g., discusses stock prices, debt offerings, and capital investments)","frame:::Macroeconomic / General Economic Conditions (e.g., discusses jobs, housing prices, and oil prices)","frame:::Industry-specific (e.g., discusses agricultural prices, manufacturing output, and retail sales)","frame:::Government revenue and expenses (e.g., discusses taxes, budgets, and treasury issuances)","macro_indicator:::Prices (e.g., CPI, PPI)","macro_indicator:::Market Numbers (e.g., any financial market)","macro_indicator:::Macroeconomy (e.g., GDP)",macro_indicator:::Not Relevant to the U.S. Economy,"macro_indicator:::Energy Prices (eg., oil, gas)",macro_indicator:::Other,"macro_indicator:::Interest Rates (e.g., Fed, Mortgage)","macro_indicator:::Wages (e.g., minimum wage, average wage)",macro_indicator:::Confidence,"macro_indicator:::Housing (e.g., Start, Sales, Pricing)",macro_indicator:::Not general type 'Macroeconomic / General Economic Conditions',macro_indicator:::Retail Sales,"macro_indicator:::Job Numbers (e.g., jobs, unemployment)",spin:::Not Relevant to the U.S. Economy,spin:::Unknown,"spin:::Neutral (e.g., GDP was worth X US dollars)","spin:::Positive (e.g., inflation dropped)","spin:::Negative (e.g., prices skyrocketed)",spin:::Not general type 'Macroeconomic / General Economic Conditions',"Question 1: The highlighted quantity should have a general type. Please label the type, or select 'Not Relevant to the U.S. Economy' if it is a date or otherwise not relevant to the U.S. economy:::Firm-specific (e.g., discusses stock prices, debt offerings, and capital investments)","Question 1: The highlighted quantity should have a general type. Please label the type, or select 'Not Relevant to the U.S. Economy' if it is a date or otherwise not relevant to the U.S. economy:::Macroeconomic / General Economic Conditions (e.g., discusses jobs, housing prices, and oil prices)","Question 2: If the quantity's general type is 'Macroeconomic / General Economic Conditions', please label the specific macroeconomic indicator. Select 'Not general type 'Macroeconomic / General Economic Conditions'' if the quantity is not relevant to the U.S. economy or is not a macroeconomic / general conditions type.:::Housing (e.g., Start, Sales, Pricing)","Question 2: If the quantity's general type is 'Macroeconomic / General Economic Conditions', please label the specific macroeconomic indicator. Select 'Not general type 'Macroeconomic / General Economic Conditions'' if the quantity is not relevant to the U.S. economy or is not a macroeconomic / general conditions type.:::Not general type 'Macroeconomic / General Economic Conditions'","Question 3: If the quantity's general type is 'Macroeconomic / General Economic Conditions', what spin does the writer of the excerpt put on the highlighted quantity?:::Negative (e.g., prices skyrocketed)","Question 3: If the quantity's general type is 'Macroeconomic / General Economic Conditions', what spin does the writer of the excerpt put on the highlighted quantity?:::Not general type 'Macroeconomic / General Economic Conditions","Good work! You answered the sample questions correctly. Please confirm that you have read all instructions, because you'll now do 2 examples on your own.:::I have read all provided instructions","The highlighted quantity should have a general type. Please label the type, or select 'Not Relevant' is a date or otherwise not relevant to the U.S. economy:::Macroeconomic / General Economic Conditions (e.g., discusses jobs, housing prices, and oil prices)",You have answered all practice questions correctly! You may access the instructions at any time during the study using the links at the top left the screen.:::I have identified the links to the instruction set and codebook,Please note that we reserve the right to reject your annotations if the provided instructions are not followed.:::I understand that my answers will be rejected if I do not follow the instructions," If the quantity's general type is 'Macroeconomic / General Economic Conditions', what spin does the writer of the excerpt put on the highlighted quantity?:::Negative (e.g., prices skyrocketed)"
6690691d5997bd8526c665c8,88390_20,"And by 2013, McConnell was already preparing for his 2014 reelection bid. When Manchin-Toomey finally came to the Senate floor for a vote in April 2013, McConnell pushed his conference to oppose the bill, which ultimately <span>failed 54 to</span> 46, falling short of the 60 votes needed for passage. “McConnell whipped hard against it.",,,6,,,,,,,,,,13,,,,,,,,,,5,,,,,,,,,,,,,,,,
6690691d5997bd8526c665c8,64541_7,"Hacks were a primary reason for bitcoin’s steep fall last year following its manic rally in 2017. While bitcoin, the largest cryptocurrency by market value, is up more than 50% so far this year, it remains down by <span>about 70% from</span> its record high in December 2017. “People are quite used to exchange hacks,” said John Patrick Mullin, a cryptocurrency investor and blockchain consultant in Hong Kong.",,,,,,1,,,,,,,,,,,,,,,7,,,,,0,,,,,,,,,,,,,
6690691d5997bd8526c665c8,Economic-Article-Quant-Annotation-example2.html,example2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Question 1: The highlighted quantity should have a general type. Please label the type, or select 'Not Relevant to the U.S. Economy' if it is a date or otherwise not relevant to the U.S. economy:::Macroeconomic / General Economic Conditions (e.g., discusses jobs, housing prices, and oil prices)","Question 2: If the quantity's general type is 'Macroeconomic / General Economic Conditions', please label the specific macroeconomic indicator. Select 'Not general type 'Macroeconomic / General Economic Conditions'' if the quantity is not relevant to the U.S. economy or is not a macroeconomic / general conditions type.:::Housing (e.g., Start, Sales, Pricing)",,"Question 3: If the quantity's general type is 'Macroeconomic / General Economic Conditions', what spin does the writer of the excerpt put on the highlighted quantity?:::Negative (e.g., prices skyrocketed)",,,,,,
6690691d5997bd8526c665c8,28411_0,"Last week, the Wall Street Journal had a scoop of sorts; the headline read, “President Trump Eyes a New Real-Estate Purchase: Greenland: In conversations with aides, the president has — with varying degrees of seriousness — floated the idea of the U.S. buying the autonomous Danish territory.” Greenland, of course, is a huge island in the Atlantic, most of it north of the Arctic Circle. As such, even though it <span>boasts 836,000 square</span> miles of territory — more than a quarter the size of the continental U.S. — it counts a population of just 55,000. In other words, the great landmass is ripe for development, so it’s no wonder Trump, real estate man, wants to take a crack at developing it — on behalf of the nation, if not for himself.",,,6,,,,,,,,,,13,,,,,,,,,,5,,,,,,,,,,,,,,,,
6690691d5997bd8526c665c8,30538_14,"Other than a handful of mainly online outlets, the Hungarian media has been either silent about or supportive of these moves. According to Freedom House’s press freedom index, Hungary’s media was judged the 87th freest in the world <span>In 2017,</span> down from joint 40th in 2010, when Mr. Orban entered office. The index now labels Hungarian media as only “partly free,” while Hungary’s wider political system, once classified as a “consolidated democracy,” has been downgraded to “semi-consolidated democracy.” And the fate of Origo, Mr. Mong said, is “very symbolic” of that transition.",,,6,,,,,,,,,,13,,,,,,,,,,5,,,,,,,,,,,,,,,,
6690691d5997bd8526c665c8,28411_9,"In the meantime, a whole new group of entrepreneurs and innovators came along, finding new ways to squeeze oil out of old fields; one such was George P. Mitchell (1919-2013), the Texas-born pioneer of fracking. As a result, <span>since 1980,</span> proven oil reserves in the U.S. have risen by more than a third, and around the world, reserves have nearly tripled. So now, looking to the future, there’s every reason to believe that the same sequence would happen in Greenland: new thinking + new production = new wealth.",,,6,,,,,,,,,,13,,,,,,,,,,5,,,,,,,,,,,,,,,,
6690691d5997bd8526c665c8,30538_3,"Other than a handful of mainly online outlets, the Hungarian media has been either silent about or supportive of these moves. According to Freedom House’s press freedom index, Hungary’s media was judged the 87th freest in the world <span>In 2017,</span> down from joint 40th in 2010, when Mr. Orban entered office. The index now labels Hungarian media as only “partly free,” while Hungary’s wider political system, once classified as a “consolidated democracy,” has been downgraded to “semi-consolidated democracy.” And the fate of Origo, Mr. Mong said, is “very symbolic” of that transition.",,,6,,,,,,,,,,13,,,,,,,,,,5,,,,,,,,,,,,,,,,
6690691d5997bd8526c665c8,28411_10,"So now we come back to Greenland. As noted, Greenland is more than a quarter the size of the <span>Lower 48.</span> So that gives us plenty of vacant land to work with — to dig, to drill, to otherwise enjoy — and then, at the same time, the land can be used for carbon capture.",,,,,,,0,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,
6690691d5997bd8526c665c8,Economic-Article-Quant-Annotation-instructions3_example.html,instructions3_example,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," If the quantity's general type is 'Macroeconomic / General Economic Conditions', what spin does the writer of the excerpt put on the highlighted quantity?:::Negative (e.g., prices skyrocketed)"
6690691d5997bd8526c665c8,42858_63,"Airline fares surged 37.8% from a year ago, while hotel prices were 19.3% higher. Restaurant prices rose 7.4%, the sharpest rise <span>since 1981.</span> Despite strong demand for summer activities such as travel, higher prices are eating into many business owners’ profitability.",,,,,,,0,,,5,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
6690691d5997bd8526c665c8,20028_8,"Only six new malls have been built since 2010, according to CoStar Group, a provider of commercial real-estate information. Meanwhile, the number of ""dead malls,"" those with vacancy rates <span>over 40%,</span> has nearly tripled since 2006 to 74 properties. The fate of the mall business matters, because even as the industry struggles, it remains an important source of economic activity.",,,,,,,,2,,,,,13,,,,,,,,,,5,,,,,,,,,,,,,,,,
6690691d5997bd8526c665c8,28063_17,"The jobs it has added — many of them in the service industry — are often low-paid positions with high turnover rates. Among the country’<span>s 15 largest</span> metropolitan areas, the Washington region ranks last in job creation and income growth, according to data from the Stephen S. Fuller Institute at GMU. As Discovery showed by shipping low-end jobs to Tennessee, the Washington region struggles to compete when business costs are a factor.",,,,,,,0,,,,,,,,,,,,,,,0,,,,,1,,,,,,,,,,,,
6690691d5997bd8526c665c8,49697_0,"A concrete wall. When the storm finally broke three days later, <span>some 40 inches</span> of snow had fallen and everything sprang to life. The timing was ideal.",,,,,,1,,,,,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
6690691d5997bd8526c665c8,87347_2,"The consumer-price index, which gauges what Americans pay for everything from veterinarian services to baby clothes, rose a seasonally adjusted 0.1% in June from the prior month, the Labor Department said Thursday. Excluding volatile food and energy components, prices <span>increased 0.2%.</span> Economists surveyed by The Wall Street Journal had expected a 0.2% uptick...",,,6,,,,,,,,,,13,,,,,,,,,,5,,,,,,,,,,,,,,,,
6690691d5997bd8526c665c8,93529_0,"Aug.<span> 27,</span> 2022 12:00 am ET  Walt Disney used to call Disneyland his “magic kingdom.” These days, Walt Disney Co. DIS -1.84%decrease; red down pointing triangle has a new magic trick: wringing every last dollar out of each visitor to its profitable theme parks. Over the past two years, as Florida’s Walt Disney World Resort and Southern California’s Disneyland Resort have emerged from the shadow of the coronavirus pandemic, the company has made a host of changes that have sent the cost of a visit to a Disney resort skyward.",,,,,,1,,,,,,,13,,,,,,,,,,5,,,,,,,,,,,,,,,,
6690691d5997bd8526c665c8,92520_20,"Americans give failing marks to U.S. health-care system  New this a.m.: Nearly half of adults give the country’s health care system a poor or failing grade, according to a new West Health-Gallup poll, which found that Americans across party lines see lobbying and partisan politics as major barriers to finding solutions to address the rising costs of medicine. By the numbers:  * Sixty-six percent of Americans report their household pays too much relative to the quality of care that it receives, up six points compared with April of last year, according to the poll, which surveyed more than 5,5000 adults., * Six in 10 Americans report that cost is an important factor when considering a recommended medical procedure or medication., * Half the country — an <span>estimated 129 million</span> adults — have low levels of confidence that they can afford health care as they age., * Two in three Americans under 65 believe Medicare will not exist when they reach the age of eligibility.,  First in The Health 202: Rep. Buddy Carter (R-Ga.), a pharmacist, is rolling out a campaign attacking pharmacy benefit managers often known as drug middlemen.",,,,,,,0,,,,,,,,,,,6,,,,,,,,,1,,,,,,,,,,,,
6690691d5997bd8526c665c8,20028_11,"The fate of the mall business matters, because even as the industry struggles, it remains an important source of economic activity. Sales per square foot at the nation's malls grew <span>just 2.6% last</span> year—their slowest pace since 2009, according to International Council of Shopping Centers. Vacancy rates are stubbornly high, at an average of more than 8% at regional malls, not far off a 2011 peak in of 9.4%, according to data company Reis Inc.  ""Just because people are making fewer trips to the mall doesn't mean they're spending less,"" said Jesse Tron, a spokesman for the ICSC.",,,,,,,,2,,,,,,,,,,,,,7,,,,,,1,,,,,,,,,,,,
6690691d5997bd8526c665c8,305_9,"The problem is that we were applying this old standard to a candidate who was exploiting it for his own purposes — while seeking to undermine democracy itself. Advertisement In the late afternoon of Nov.<span> 8,</span> 2016, Election Day, I walked into The Post’s newsroom with a column already started about Hillary Clinton’s supposedly inevitable victory. A few hours later, I was scrambling, just like every reporter, editor and commentator.",,,6,,,,,,,,,,13,,,,,,,,,,5,,,,,,,,,,,,,,,,
6690691d5997bd8526c665c8,58696_1,"Markets without rules are theft.” As in her stump speeches, Ms. Warren also spoke at length about the systemic effects of racism, especially in worsening economic inequality. In the 1960s, she noted, when redlining and other forms of housing discrimination were legal, the homeownership gap between black and white Americans <span>was 27 percentage</span> points. Today, it is 30 percentage points.",,,,,,,0,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,
6690691d5997bd8526c665c8,49697_5,"The sport soared in popularity when the Olympics came to Bosnia in 1984 and a Slovenian, Jure Franko, won silver in the giant slalom to clinch Yugoslavia’s first Winter Olympic medal ever. Brezovica, <span>about 250 miles</span> southeast of Sarajevo, served as a backup for those games, but Yugoslavia’s more hard-bitten skiers already knew the place for offering the steepest slopes and deepest powder for the fewest dinars. There near the Serbian enclave of Strpce about 35 miles south of Pristina, storms slam into the 8,000-foot Sharr Mountains that rocket out of the Metohija basin with abrupt ridges and mighty shoulders cupping some of the continent’s most extensive pasturelands.",,,6,,,,,,,,,,13,,,,,,,,,,5,,,,,,,,,,,,,,,,
6690691d5997bd8526c665c8,73212_9,"Expanded supply has helped moderate commodity prices over the past year after a decade of demand from China helped push many prices into the stratosphere. The International Monetary Fund's index of all commodity prices is down about 12% from recent peaks; it had roughly tripled Between 2000 and<span> 2011.</span> Copper is down 28% from its record high in 2011, while thermal coal has fallen by more than half since a 2008 peak.",,,6,,,,,,,,,,13,,,,,,,,,,5,,,,,,,,,,,,,,,,
6690691d5997bd8526c665c8,49862_3,"The phone company’s share price barely advanced during a period when stocks more than doubled in value. From the announcement of Time Warner’s acquisition to word of its spinoff, shares of AT&T gained <span>just 12.6 percent</span> compared to a 112.7 percent increase in the S&P 500. The company’s market capitalization — the value of all its outstanding stock — has fallen by about 20 percent since the end of 2016, according to data compiled by Bloomberg.",,,,,,1,,,,,,,,,,,,,,12,,,,,,,,4,,,,,,,,,,,
6690691d5997bd8526c665c8,20028_13,"Sales per square foot at the nation's malls grew just 2.6% last year—their slowest pace since 2009, according to International Council of Shopping Centers. Vacancy rates are stubbornly high, at an average of more <span>than 8% at</span> regional malls, not far off a 2011 peak in of 9.4%, according to data company Reis Inc.  ""Just because people are making fewer trips to the mall doesn't mean they're spending less,"" said Jesse Tron, a spokesman for the ICSC. Mr. Tron said that malls are trying to reinvent themselves by adding entertainment like indoor golf courses and higher-end restaurants, as well as services such as same-day delivery.",,,,,,,,2,,,,,,,,,,,,,7,,,,,,1,,,,,,,,,,,,
6690691d5997bd8526c665c8,49862_5,"The phone company’s share price barely advanced during a period when stocks more than doubled in value. From the announcement of Time Warner’s acquisition to word of its spinoff, shares of AT&T gained just 12.6 percent compared to a 112.7 percent increase in the S&<span>P 500.</span> The company’s market capitalization — the value of all its outstanding stock — has fallen by about 20 percent since the end of 2016, according to data compiled by Bloomberg.",,,,,,1,,,,,,,13,,,,,,,,,,5,,,,,,,,,,,,,,,,
6690691d5997bd8526c665c8,305_10,"If Trump Runs Again, Do Not Cover Him the Same Way: A Journalist’s Manifesto I believed in traditional reporting, but Trump changed me — and it should change the rest of the media too. Perspective by Margaret Sullivan October 12, 2022 at 10:00 a.m. EDT Despite my nearly four decades in journalism, I was unprepared for the moment of no return that came on a July day in<span> 2016,</span> as a blazing sun beat down on the streets of Cleveland. Walking around the grounds of the Republican National Convention, I was looking for a column idea.",,,6,,,,,,,,,,13,,,,,,,,,,5,,,,,,,,,,,,,,,,
6690691d5997bd8526c665c8,92537_8,"Figures to be released Thursday by the European Union’s statistics agency are expected to show the eurozone’s annual rate of inflation rose to 8.9% in July from 8.6% in June. By contrast, U.S. inflation eased to 8.5% in July <span>from 9.1% in</span> June. Economists at JPMorgan see increasing signs that global inflation is set to ease, with prices of food and many commodities down from recent peaks.",,,,4,,,,,,5,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
6690691d5997bd8526c665c8,92520_18,"Americans give failing marks to U.S. health-care system  New this a.m.: Nearly half of adults give the country’s health care system a poor or failing grade, according to a new West Health-Gallup poll, which found that Americans across party lines see lobbying and partisan politics as major barriers to finding solutions to address the rising costs of medicine. By the numbers:  * Sixty-six percent of Americans report their household pays too much relative to the quality of care that it receives, up six points compared with April of last year, according to the poll, which surveyed more <span>than 5,5000 adults</span>., * Six in 10 Americans report that cost is an important factor when considering a recommended medical procedure or medication., * Half the country — an estimated 129 million adults — have low levels of confidence that they can afford health care as they age., * Two in three Americans under 65 believe Medicare will not exist when they reach the age of eligibility.,  First in The Health 202: Rep. Buddy Carter (R-Ga.), a pharmacist, is rolling out a campaign attacking pharmacy benefit managers often known as drug middlemen.",,,,4,,,,,,,,,13,,,,,,,,,,5,,,,,,,,,,,,,,,,
6690691d5997bd8526c665c8,70781_24,"Japan, struggling to promote growth as the country’s population ages, has been cutting the rate to encourage investment. This year, the rate fell 2 percentage points <span>to 30%,</span> bringing the drop to 10 points in just a few years. In the U.S., however, the policy debate has been stalled for years, despite bipartisan consensus to lower corporate taxes.",,,,,,,0,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,
66c3f9c82a62ec48ab383e47,Economic-Article-Quant-Annotation-instructions1_example.html,instructions1_example,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The highlighted quantity should have a general type. Please label the type, or select 'Not Relevant' is a date or otherwise not relevant to the U.S. economy:::Macroeconomic / General Economic Conditions (e.g., discusses jobs, housing prices, and oil prices)",,,
66c3f9c82a62ec48ab383e47,Economic-Article-Quant-Annotation-instructions2_example.html,instructions2_example,"If the quantity's general type is 'Macroeconomic / General Economic Conditions', please label the specific macroeconomic indicator. Select 'Not general type 'Macroeconomic / General Economic Conditions'' if the quantity is not relevant to the U.S. economy or is not a macroeconomic / general conditions type.:::Market Numbers (e.g., any financial market)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66c3f9c82a62ec48ab383e47,93529_3,"* Who Is James Gorman? Morgan Stanley CEO, Taylor Swift BoosterMay 19,<span> 2023,</span> * Negotiators Halt Debt-Ceiling TalksMay 19, 2023, * Jerome Powell Keeps June Interest-Rate Pause in PlayMay 19, 2023,  * Who Is James Gorman? Morgan Stanley CEO, Taylor Swift BoosterMay 19, 2023, * Negotiators Halt Debt-Ceiling TalksMay 19, 2023, * Jerome Powell Keeps June Interest-Rate Pause in PlayMay 19, 2023, * At Least 50 Car Models Tied to Potentially Explosive Air-Bag Part, WSJ FindsMay 19, 2023, * U.S.",,,,,,,,2,,,,,,,,,,,,12,,,,,,,,4,,,,,,,,,,,
66c3f9c82a62ec48ab383e47,21067_17,"As the civilian casualties grew, overwhelmingly on the Gaza side, the conflict polarized Israeli society, and the world, in ways seldom seen before. At least 230 people were killed in Gaza during the war, including at <span>least 65 children</span>, while in Israel at least 12 were killed, including two children. Gaza’s infrastructure, already ailing, was gutted by Israeli airstrikes on the densely populated territory.",,,,,5,,,,,,,,13,,,,,,,,,,5,,,,,,,,,,,,,,,,
66c3f9c82a62ec48ab383e47,42858_34,"Prices for used cars and trucks—a key engine of the past year’s inflation surge—rose 1.8% in May from April, reversing three months of declines. Shelter costs, an indicator of broad inflation pressures, accelerated on a monthly basis in May and were <span>up 5.5%,</span> compared with a year ago. Airline fares rose 12.6% on the month, the third straight double-digit rise.",,,,,,,0,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,
66c3f9c82a62ec48ab383e47,Economic-Article-Quant-Annotation-confirm.html,confirm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,You have answered all practice questions correctly! You may access the instructions at any time during the study using the links at the top left the screen.:::I have identified the links to the instruction set and codebook,Please note that we reserve the right to reject your annotations if the provided instructions are not followed.:::I understand that my answers will be rejected if I do not follow the instructions,
66c3f9c82a62ec48ab383e47,88390_20,"And by 2013, McConnell was already preparing for his 2014 reelection bid. When Manchin-Toomey finally came to the Senate floor for a vote in April 2013, McConnell pushed his conference to oppose the bill, which ultimately <span>failed 54 to</span> 46, falling short of the 60 votes needed for passage. “McConnell whipped hard against it.",,,,4,,,,,,,,,,,,,,,,12,,,,,,,,4,,,,,,,,,,,
66c3f9c82a62ec48ab383e47,64541_7,"Hacks were a primary reason for bitcoin’s steep fall last year following its manic rally in 2017. While bitcoin, the largest cryptocurrency by market value, is up more than 50% so far this year, it remains down by <span>about 70% from</span> its record high in December 2017. “People are quite used to exchange hacks,” said John Patrick Mullin, a cryptocurrency investor and blockchain consultant in Hong Kong.",,,,,,,0,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
66c3f9c82a62ec48ab383e47,Economic-Article-Quant-Annotation-example2.html,example2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Question 1: The highlighted quantity should have a general type. Please label the type, or select 'Not Relevant to the U.S. Economy' if it is a date or otherwise not relevant to the U.S. economy:::Macroeconomic / General Economic Conditions (e.g., discusses jobs, housing prices, and oil prices)","Question 2: If the quantity's general type is 'Macroeconomic / General Economic Conditions', please label the specific macroeconomic indicator. Select 'Not general type 'Macroeconomic / General Economic Conditions'' if the quantity is not relevant to the U.S. economy or is not a macroeconomic / general conditions type.:::Housing (e.g., Start, Sales, Pricing)",,"Question 3: If the quantity's general type is 'Macroeconomic / General Economic Conditions', what spin does the writer of the excerpt put on the highlighted quantity?:::Negative (e.g., prices skyrocketed)",,,,,,
66c3f9c82a62ec48ab383e47,Economic-Article-Quant-Annotation-instructions3_example.html,instructions3_example,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," If the quantity's general type is 'Macroeconomic / General Economic Conditions', what spin does the writer of the excerpt put on the highlighted quantity?:::Negative (e.g., prices skyrocketed)"
66c3f9c82a62ec48ab383e47,87347_2,"The consumer-price index, which gauges what Americans pay for everything from veterinarian services to baby clothes, rose a seasonally adjusted 0.1% in June from the prior month, the Labor Department said Thursday. Excluding volatile food and energy components, prices <span>increased 0.2%.</span> Economists surveyed by The Wall Street Journal had expected a 0.2% uptick...",,,,,,,0,,,5,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
66c3f9c82a62ec48ab383e47,Economic-Article-Quant-Annotation-example1.html,example1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Question 1: The highlighted quantity should have a general type. Please label the type, or select 'Not Relevant to the U.S. Economy' if it is a date or otherwise not relevant to the U.S. economy:::Firm-specific (e.g., discusses stock prices, debt offerings, and capital investments)",,,"Question 2: If the quantity's general type is 'Macroeconomic / General Economic Conditions', please label the specific macroeconomic indicator. Select 'Not general type 'Macroeconomic / General Economic Conditions'' if the quantity is not relevant to the U.S. economy or is not a macroeconomic / general conditions type.:::Not general type 'Macroeconomic / General Economic Conditions'",,"Question 3: If the quantity's general type is 'Macroeconomic / General Economic Conditions', what spin does the writer of the excerpt put on the highlighted quantity?:::Not general type 'Macroeconomic / General Economic Conditions",,,,,
66c3f9c82a62ec48ab383e47,20028_11,"The fate of the mall business matters, because even as the industry struggles, it remains an important source of economic activity. Sales per square foot at the nation's malls grew <span>just 2.6% last</span> year—their slowest pace since 2009, according to International Council of Shopping Centers. Vacancy rates are stubbornly high, at an average of more than 8% at regional malls, not far off a 2011 peak in of 9.4%, according to data company Reis Inc.  ""Just because people are making fewer trips to the mall doesn't mean they're spending less,"" said Jesse Tron, a spokesman for the ICSC.",,,,,,,0,,,,,,,,,,,,2,,,,,,2,,,,,,,,,,,,,,
66c3f9c82a62ec48ab383e47,305_9,"The problem is that we were applying this old standard to a candidate who was exploiting it for his own purposes — while seeking to undermine democracy itself. Advertisement In the late afternoon of Nov.<span> 8,</span> 2016, Election Day, I walked into The Post’s newsroom with a column already started about Hillary Clinton’s supposedly inevitable victory. A few hours later, I was scrambling, just like every reporter, editor and commentator.",,,,,5,,,,,,,,,,11,,,,,,,,,3,,,,,,,,,,,,,,,
66c3f9c82a62ec48ab383e47,92520_19,"Americans give failing marks to U.S. health-care system  New this a.m.: Nearly half of adults give the country’s health care system a poor or failing grade, according to a new West Health-Gallup poll, which found that Americans across party lines see lobbying and partisan politics as major barriers to finding solutions to address the rising costs of medicine. By the numbers:  * Sixty-six percent of Americans report their household pays too much relative to the quality of care that it receives, up six points compared with April of last year, according to the poll, which surveyed more than 5,5000 adults., * Six <span>in 10 Americans</span> report that cost is an important factor when considering a recommended medical procedure or medication., * Half the country — an estimated 129 million adults — have low levels of confidence that they can afford health care as they age., * Two in three Americans under 65 believe Medicare will not exist when they reach the age of eligibility.,  First in The Health 202: Rep. Buddy Carter (R-Ga.), a pharmacist, is rolling out a campaign attacking pharmacy benefit managers often known as drug middlemen.",,,,,,1,,,,,,,,,,,,,,12,,,,,,,,4,,,,,,,,,,,
66c3f9c82a62ec48ab383e47,49697_5,"The sport soared in popularity when the Olympics came to Bosnia in 1984 and a Slovenian, Jure Franko, won silver in the giant slalom to clinch Yugoslavia’s first Winter Olympic medal ever. Brezovica, <span>about 250 miles</span> southeast of Sarajevo, served as a backup for those games, but Yugoslavia’s more hard-bitten skiers already knew the place for offering the steepest slopes and deepest powder for the fewest dinars. There near the Serbian enclave of Strpce about 35 miles south of Pristina, storms slam into the 8,000-foot Sharr Mountains that rocket out of the Metohija basin with abrupt ridges and mighty shoulders cupping some of the continent’s most extensive pasturelands.",,,6,,,,,,,,,,,,,,,,,12,,,5,,,,,,,,,,,,,,,,
66c3f9c82a62ec48ab383e47,Economic-Article-Quant-Annotation-instructions_confirm.html,instructions_confirm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Good work! You answered the sample questions correctly. Please confirm that you have read all instructions, because you'll now do 2 examples on your own.:::I have read all provided instructions",,,,
66c3f9c82a62ec48ab383e47,49862_3,"The phone company’s share price barely advanced during a period when stocks more than doubled in value. From the announcement of Time Warner’s acquisition to word of its spinoff, shares of AT&T gained <span>just 12.6 percent</span> compared to a 112.7 percent increase in the S&P 500. The company’s market capitalization — the value of all its outstanding stock — has fallen by about 20 percent since the end of 2016, according to data compiled by Bloomberg.",,,,,,,,2,,,,,,,,,,,,12,,,,,,,,4,,,,,,,,,,,
66c3f9c82a62ec48ab383e47,20028_13,"Sales per square foot at the nation's malls grew just 2.6% last year—their slowest pace since 2009, according to International Council of Shopping Centers. Vacancy rates are stubbornly high, at an average of more <span>than 8% at</span> regional malls, not far off a 2011 peak in of 9.4%, according to data company Reis Inc.  ""Just because people are making fewer trips to the mall doesn't mean they're spending less,"" said Jesse Tron, a spokesman for the ICSC. Mr. Tron said that malls are trying to reinvent themselves by adding entertainment like indoor golf courses and higher-end restaurants, as well as services such as same-day delivery.",,,,,,,0,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
5f067c54f05beb1e8392a532,Economic-Article-Quant-Annotation-instructions2_example.html,instructions2_example,"If the quantity's general type is 'Macroeconomic / General Economic Conditions', please label the specific macroeconomic indicator. Select 'Not general type 'Macroeconomic / General Economic Conditions'' if the quantity is not relevant to the U.S. economy or is not a macroeconomic / general conditions type.:::Market Numbers (e.g., any financial market)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f067c54f05beb1e8392a532,29800_1,"Tech Shares Drop After Disappointing Earnings Reports Dow, S&<span>P 500 still</span> post weekly gains Technology shares slumped Friday, but the Dow Jones Industrial Average and the S&P 500 still posted gains on the week. Investors are debating whether U.S. stocks can push toward highs reached last May following a rally that began in mid-February.",,,,,,1,,,,,,,,,,,,,,12,,,,,,,,4,,,,,,,,,,,
