user,instance_id,displayed_text,"frame:::Macroeconomic / General Economic Conditions (e.g., discusses jobs, housing prices, and oil prices)","frame:::Industry-specific (e.g., discusses agricultural prices, manufacturing output, and retail sales)",frame:::Not Relevant to the U.S. Economy,"frame:::Government revenue and expenses (e.g., discusses taxes, budgets, and treasury issuances)",frame:::Other,"frame:::Personal (e.g., discusses household expenditures and personal debts)","frame:::Firm-specific (e.g., discusses stock prices, debt offerings, and capital investments)","macro_indicator:::Job Numbers (e.g., jobs, unemployment)",macro_indicator:::Not general type 'Macroeconomic / General Economic Conditions',macro_indicator:::Retail Sales,"macro_indicator:::Interest Rates (e.g., Fed, Mortgage)",macro_indicator:::Not Relevant to the U.S. Economy,"macro_indicator:::Macroeconomy (e.g., GDP)",macro_indicator:::Other,macro_indicator:::Currency Values,"macro_indicator:::Wages (e.g., minimum wage, average wage)","macro_indicator:::Prices (e.g., CPI, PPI)","macro_indicator:::Market Numbers (e.g., any financial market)","macro_indicator:::Energy Prices (eg., oil, gas)",spin:::Not general type 'Macroeconomic / General Economic Conditions',"spin:::Positive (e.g., inflation dropped)",spin:::Not Relevant to the U.S. Economy,"spin:::Neutral (e.g., GDP was worth X US dollars)",spin:::Unknown,"spin:::Negative (e.g., prices skyrocketed)","Question 1: The highlighted quantity should have a general type. Please label the type, or select 'Not Relevant to the U.S. Economy' if it is a date or otherwise not relevant to the U.S. economy:::Macroeconomic / General Economic Conditions (e.g., discusses jobs, housing prices, and oil prices)","Question 1: The highlighted quantity should have a general type. Please label the type, or select 'Not Relevant to the U.S. Economy' if it is a date or otherwise not relevant to the U.S. economy:::Firm-specific (e.g., discusses stock prices, debt offerings, and capital investments)","Question 2: If the quantity's general type is 'Macroeconomic / General Economic Conditions', please label the specific macroeconomic indicator. Select 'Not general type 'Macroeconomic / General Economic Conditions'' if the quantity is not relevant to the U.S. economy or is not a macroeconomic / general conditions type.:::Housing (e.g., Start, Sales, Pricing)","Question 2: If the quantity's general type is 'Macroeconomic / General Economic Conditions', please label the specific macroeconomic indicator. Select 'Not general type 'Macroeconomic / General Economic Conditions'' if the quantity is not relevant to the U.S. economy or is not a macroeconomic / general conditions type.:::Not general type 'Macroeconomic / General Economic Conditions'","Question 3: If the quantity's general type is 'Macroeconomic / General Economic Conditions', what spin does the writer of the excerpt put on the highlighted quantity?:::Not general type 'Macroeconomic / General Economic Conditions'","Question 3: If the quantity's general type is 'Macroeconomic / General Economic Conditions', what spin does the writer of the excerpt put on the highlighted quantity?:::Negative (e.g., prices skyrocketed)","The highlighted quantity should have a general type. Please label the type, or select 'Not Relevant' is a date or otherwise not relevant to the U.S. economy:::Macroeconomic / General Economic Conditions (e.g., discusses jobs, housing prices, and oil prices)","Good work! You answered the sample questions correctly. Please confirm that you have read all instructions, because you'll now do 2 examples on your own.:::I have read all provided instructions",You have answered all practice questions correctly! You may access the instructions at any time during the study using the links at the top left the screen.:::I have identified the links to the instruction set and codebook,Please note that we reserve the right to reject your annotations if the provided instructions are not followed.:::I understand that my answers will be rejected if I do not follow the instructions," If the quantity's general type is 'Macroeconomic / General Economic Conditions', what spin does the writer of the excerpt put on the highlighted quantity?:::Negative (e.g., prices skyrocketed)","If the quantity's general type is 'Macroeconomic / General Economic Conditions', please label the specific macroeconomic indicator. Select 'Not general type 'Macroeconomic / General Economic Conditions'' if the quantity is not relevant to the U.S. economy or is not a macroeconomic / general conditions type.:::Market Numbers (e.g., any financial market)"
661c2e0c445d09870decb949,61198_2,"“Given the number of people who have lost their jobs and the likelihood that some will struggle to find work in the postpandemic economy, achieving and sustaining maximum employment will require more than supportive monetary policy,” Jerome H. Powell, the chair of the Federal Reserve, said in speech to the Economic Club of New York on Wednesday. “It will require a societywide commitment.” Mr. Powell called policies that would bring the coronavirus pandemic to an end as soon as possible “paramount” and said both workers and businesses that had been disrupted by the crisis “are likely to need continued support.” Unemployment remains sharply elevated at 6.3 percent, up from 3.5 percent before the pandemic, and jumps to <span>about 10 percent</span> when adjusted for misclassified job statuses and recent dropouts from the work force. The pain has also been uneven.",0,,,,,,,0,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
661c2e0c445d09870decb949,19694_10,"Stock prices for some 3-D printing companies more than doubled in 2013, while world-wide revenue increased a smaller 27% to an estimated $2.8 billion last year, according to consultancy Wohlers Associates Inc. in Colorado. 3-D stocks though are off to a rough start this year with industry leaders 3D Systems Corp. <span>DDD 1.66</span>%increase; green up pointing triangle down 40% and Stratasys Ltd. SSYS -1.48%decrease; red down pointing triangle off about 19% since the start of 2014. Still, some 3-D stocks remain priced at 50 to 70 times projected 2014 earnings, attracting comparisons to the overheated market for Internet stocks during the early 2000s.",,,,,,,1,,12,,,,,,,,,,,4,,,,,,,,,,,,,,,,,
661c2e0c445d09870decb949,63507_4,"China has responded with its own tit-for-tat tariffs on American goods. But over a steak dinner during the Group <span>of 20 summit</span> meeting in Argentina, Mr. Xi and Mr. Trump agreed to a 90-day truce and to work toward an agreement that Mr. Trump said could lead to “one of the largest deals ever made.” “It’s not some subtle shift; Trump has flipped since September,” said Derek Scissors, who studies China’s economy for the American Enterprise Institute. “He went from saying how he was going to slap tariffs on everything to all this talk about making the greatest deal ever.” Mr. Lighthizer — whose top deputy will meet with Chinese officials this week ahead of more high-level talks in February — has played down any differences with Mr. Trump and views his role as ultimately executing the directive of his boss.",,,6,,,,,,,,,13,,,,,,,,,,5,,,,,,,,,,,,,,,
661c2e0c445d09870decb949,Economic-Article-Quant-Annotation-example1.html,example1,,,,,,,,,,,,,,,,,,,,,,,,,,,"Question 1: The highlighted quantity should have a general type. Please label the type, or select 'Not Relevant to the U.S. Economy' if it is a date or otherwise not relevant to the U.S. economy:::Firm-specific (e.g., discusses stock prices, debt offerings, and capital investments)",,"Question 2: If the quantity's general type is 'Macroeconomic / General Economic Conditions', please label the specific macroeconomic indicator. Select 'Not general type 'Macroeconomic / General Economic Conditions'' if the quantity is not relevant to the U.S. economy or is not a macroeconomic / general conditions type.:::Not general type 'Macroeconomic / General Economic Conditions'","Question 3: If the quantity's general type is 'Macroeconomic / General Economic Conditions', what spin does the writer of the excerpt put on the highlighted quantity?:::Not general type 'Macroeconomic / General Economic Conditions'",,,,,,,
661c2e0c445d09870decb949,785_0,"Newsletter Sign-up What’s News Catch up on the headlines, understand the news and make better decisions, free in your inbox every day. Retail sales <span>grew 0.3% in</span> August from the month before, a reversal after July’s 0.4% drop, which largely reflected falling gasoline prices. Retail sales rose 9.1% from August 2021.",0,,,,,,,,,7,,,,,,,,,,,0,,,,,,,,,,,,,,,,
661c2e0c445d09870decb949,46188_5,"Economic Growth  First, overall economic growth has been stronger in the U.S. than in Europe since mid-2017. While growth faltered in the eurozone beginning in the first quarter <span>of 2018,</span> it has remained solid in the U.S.  Inflation  A central bank’s main job is to maintain slow and steady inflation to keep the economy humming along. The Fed targets a 2% rate while the ECB seeks a level close to but just under 2%.",,,6,,,,,,,,,13,,,,,,,,,,5,,,,,,,,,,,,,,,
661c2e0c445d09870decb949,Economic-Article-Quant-Annotation-instructions1_example.html,instructions1_example,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The highlighted quantity should have a general type. Please label the type, or select 'Not Relevant' is a date or otherwise not relevant to the U.S. economy:::Macroeconomic / General Economic Conditions (e.g., discusses jobs, housing prices, and oil prices)",,,,,
661c2e0c445d09870decb949,32527_25,"She said that the health minister, Mr. Speranza, and Mr. Conte deliberated about what to do and within the day, they decided to close down much of the north. In a <span>surprise 2 a</span>.m. news conference on March 8, when 7,375 people had already tested positive for coronavirus and 366 had died, Mr. Conte announced the extraordinary step of restricting movement for about a quarter of the Italian population in the northern regions that serve as the country’s economic engine. “We are facing an emergency,” Mr. Conte said at the time.",,,6,,,,,,,,,13,,,,,,,,,,5,,,,,,,,,,,,,,,
661c2e0c445d09870decb949,Economic-Article-Quant-Annotation-instructions_confirm.html,instructions_confirm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Good work! You answered the sample questions correctly. Please confirm that you have read all instructions, because you'll now do 2 examples on your own.:::I have read all provided instructions",,,,
661c2e0c445d09870decb949,14797_1,"“Members judged it appropriate to continue to leave their policy options open and maintain the flexibility to adjust the stance of policy based on incoming information,” the minutes said. The Fed raised its benchmark federal-funds interest rate from near zero in December, and began the year expecting to nudge rates up four more times in quarter-percentage-point increments <span>in 2016.</span> It hasn’t moved because of recurrent worries about growth, hiring and turbulence overseas.",,,6,,,,,,,,,13,,,,,,,,,,5,,,,,,,,,,,,,,,
661c2e0c445d09870decb949,64400_1,"When Twenge spoke to The Post earlier this month, she speculated that inequality is a major reason. Income inequality was not much of an issue in the early to mid-1970s, when the <span>top 1 percent</span> of households earned less than 10 percent of total income in the United States. But the income gap between the 1 percent and the rest is now at the highest level in 50 years, driven by everything from the decline of union representation among workers — unions not only bargain for better pay, but also for workplace protections — to the offshoring of jobs to increasing CEO pay.",,,6,,,,,,,,,13,,,,,,,,,,5,,,,,,,,,,,,,,,
661c2e0c445d09870decb949,19694_19,"Still, some 3-D stocks remain priced at 50 to 70 times projected 2014 earnings, attracting comparisons to the overheated market for Internet stocks during the early 2000s. ExOne shares are up 42% since going public in February 2013, but <span>off 53% from</span> its August high. 3-D is ""overhyped"" and that's reflected in the stock prices, said Weston Twigg, an analyst for Pacific Crest Securities.",,,,,,,1,,12,,,,,,,,,,,4,,,,,,,,,,,,,,,,,
661c2e0c445d09870decb949,61198_0,"“Given the number of people who have lost their jobs and the likelihood that some will struggle to find work in the postpandemic economy, achieving and sustaining maximum employment will require more than supportive monetary policy,” Jerome H. Powell, the chair of the Federal Reserve, said in speech to the Economic Club of New York on Wednesday. “It will require a societywide commitment.” Mr. Powell called policies that would bring the coronavirus pandemic to an end as soon as possible “paramount” and said both workers and businesses that had been disrupted by the crisis “are likely to need continued support.” Unemployment remains sharply elevated <span>at 6.3 percent</span>, up from 3.5 percent before the pandemic, and jumps to about 10 percent when adjusted for misclassified job statuses and recent dropouts from the work force. The pain has also been uneven.",0,,,,,,,0,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
661c2e0c445d09870decb949,63507_8,"Mr. Lighthizer has never used the document to defend his position, the person said, but he considers it an insurance policy of sorts. During an Oval Office meeting with the trade team the fall <span>of 2017,</span> Mr. Lighthizer accused Mr. Mnuchin and Gary D. Cohn, the former National Economic Council director, of bad-mouthing him to free-trade Republican senators. The argument grew so heated that the White House chief of staff, John F. Kelly, quickly pulled the combatants into the nearby Roosevelt Room and away from the president, where the argument raged on for a few more minutes, according to two witnesses.",,,6,,,,,,,,,13,,,,,,,,,,5,,,,,,,,,,,,,,,
661c2e0c445d09870decb949,32527_7,"Italy now has more than 53,000 recorded infections and more than 4,800 dead, and the rate of increase keeps growing, with more than half the cases and fatalities coming in the past week. On Saturday, officials <span>reported 793 additional</span> deaths, by far the largest single-day increase so far. Italy has surpassed China as the country with the highest death toll, becoming the epicenter of a shifting pandemic.",,,6,,,,,,,,,13,,,,,,,,,,5,,,,,,,,,,,,,,,
661c2e0c445d09870decb949,14797_2,"Investors have doubts about the Fed’s willingness to move again. Futures traders place <span>an 18% probability</span> on a rate increase in September, 20% on a move by November and 50% on a move by December. WSJ Pro In-Depth Separate Subscription Stocks, bonds and the U.S. dollar could all be jolted when the Fed does actually push rates up again, since borrowing costs affect so much in the economy—including how much it takes to buy a home or car or finance a big corporate project.",0,,,,,,,,,,8,,,,,,,,,,,,,3,,,,,,,,,,,,,
661c2e0c445d09870decb949,49071_0,"Rising federal spending when the economy doesn’t need it points to need for better budget ‘automatic stabilizers’  Updated Jan.<span> 6,</span> 2016 12:32 pm ET  Congress brought the curtain down on five years of austerity when it passed a budget deal last month. By loosening spending caps and extending various tax breaks, the agreement means that combined federal, state and local spending and taxes will contribute to growth this year for the first time since 2010.",,,6,,,,,,,,,13,,,,,,,,,,5,,,,,,,,,,,,,,,
661c2e0c445d09870decb949,49071_8,"With the spending caps loosened and several tax cuts becoming permanent, fiscal policy has now turned stimulative. This comes too late to help: unemployment, <span>at 5%,</span> is back to normal and the Fed has started raising rates to prevent an eventual outbreak of inflation. If Congress last year instead had elected to keep the deficit down, the Fed could have neutralized the economic impact by raising rates even more slowly than it now plans.",0,,,,,,,0,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
661c2e0c445d09870decb949,32527_0,"As Italy’s coronavirus infections ticked <span>above 400 cases</span> and deaths hit the double digits, the leader of the governing Democratic Party posted a picture of himself clinking glasses for “an aperitivo in Milan,” urging people “not to change our habits.” That was on Feb. 27. Not 10 days later, as the toll hit 5,883 infections and 233 dead, the party boss, Nicola Zingaretti, posted a new video, this time informing Italy that he, too, had the virus.",,,6,,,,,,,,,13,,,,,,,,,,5,,,,,,,,,,,,,,,
661c2e0c445d09870decb949,20435_1,"this season. Without a running diary, it would be easy to forget that the Oklahoma City Thunder did not win their first game for 12 days, or that Blake Griffin <span>scored 50 points</span> against Philadelphia, or that Luke Walton’s run with the Los Angeles Lakers as coach once seemed to be in its final days. Only a fraction of the way through this season, a crew of New York Times sportswriters and friends are ready to reflect.",,,6,,,,,,,,,13,,,,,,,,,,5,,,,,,,,,,,,,,,
661c2e0c445d09870decb949,31569_31,"Its rising middle class shows there is room for more growth. Total consumption, top five countries Per capita China 28 billion gallons Mexico 72 gallons U.S. 14 U.S.<span> 42 Mexico</span> 9 Indonesia 33 Indonesia 9 Brazil 29 Brazil 6 China 20 Total consumption, top five countries Per capita China 28 billion gallons Mexico 72 gallons U.S. 14 U.S. 42 Mexico 9 Indonesia 33 Indonesia 9 Brazil 29 Brazil 6 China 20 Total consumption, top five countries Per capita China 28 billion gallons Mexico 72 gallons U.S. 14 U.S. 42 Mexico 9 Indonesia 33 Indonesia 9 Brazil 29 Brazil 6 China 20 Total consumption, top five countries China 28 billion gallons U.S. 14 Mexico 9 Indonesia 9 Brazil 6 Per capita Mexico 72 gallons U.S. 42 Indonesia 33 Brazil 29 China 20 Source: Beverage Marketing Corp. As people care more about the quality of tap water, they are more likely to turn to bottled water instead, said Mark Miao, a Shanghai-based market researcher at Euromonitor International. Four of the 10 largest packaged bottled-water companies world-wide are now Chinese, according to GlobalData, a research and consulting firm.",,,6,,,,,,,,,13,,,,,,,,,,5,,,,,,,,,,,,,,,
661c2e0c445d09870decb949,45827_5,"After all, the current agreement also makes no mention of the need to drive down global warming. But environmentalists say that failing to incorporate a mention would be a missed opportunity to make a statement in support of the 2015 Paris Agreement, which calls on <span>nearly 200 nations</span> to voluntarily reduce greenhouse gas emissions, and which did not exist when Nafta was drafted. “It violates the norm that the environment belongs at the negotiating table,” said Christopher Sands, director of the Center for Canadian Studies at the School of Advanced International Studies at Johns Hopkins University.",,,6,,,,,,,,,13,,,,,,,,,,5,,,,,,,,,,,,,,,
661c2e0c445d09870decb949,Economic-Article-Quant-Annotation-confirm.html,confirm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,You have answered all practice questions correctly! You may access the instructions at any time during the study using the links at the top left the screen.:::I have identified the links to the instruction set and codebook,Please note that we reserve the right to reject your annotations if the provided instructions are not followed.:::I understand that my answers will be rejected if I do not follow the instructions,,
661c2e0c445d09870decb949,62318_0,"Therefore, I can assume that the things he has said and done are not only acceptable to you, but are the kinds of things you think will make America great. So while I get the frustration, I just want you to be aware -- if you are a Trump supporter, these are the things I assume about you:<span>  1.</span> You think a great America consists of disrespecting our nation's veterans, particularly our POW's.",,,6,,,,,,,,,13,,,,,,,,,,5,,,,,,,,,,,,,,,
661c2e0c445d09870decb949,11692_2,"Lazard, for example, has moved into more internationally diverse U.K. businesses, such as food and tobacco companies, which the firm believes should be comparatively insulated. London’s FTSE <span>AIM 100 index</span>, composed of small-cap companies, has fallen 5.2% this year, while the large-cap FTSE 100 index is down 1.1%. A British exit also could boost euroskeptic parties across Europe, possibly encouraging other nations, such as the Netherlands, to leave the EU, according to strategists.",,,6,,,,,,,,,13,,,,,,,,,,5,,,,,,,,,,,,,,,
661c2e0c445d09870decb949,19694_15,"3-D stocks though are off to a rough start this year with industry leaders 3D Systems Corp. DDD 1.66%increase; green up pointing triangle down 40% and Stratasys Ltd. SSYS -1.48%decrease; red down pointing triangle off about 19% since the start of 2014. Still, some 3-D stocks remain priced at 50 to<span> 70 times</span> projected 2014 earnings, attracting comparisons to the overheated market for Internet stocks during the early 2000s. ExOne shares are up 42% since going public in February 2013, but off 53% from its August high.",,,,,,,1,,12,,,,,,,,,,,4,,,,,,,,,,,,,,,,,
661c2e0c445d09870decb949,72580_4,"The pound traded as low as $1.3230 in London’s early hours, as a pink-fringed dawn rose over the city and the British Broadcasting Corp. called the referendum for Leave. That was the lowest level against the dollar <span>since 1985,</span> and an epic move for a developed-market currency. The pound edged back up and was at $1.36 by 7 a.m. Just hours before, it had peaked above $1.50.",,,6,,,,,,,,,13,,,,,,,,,,5,,,,,,,,,,,,,,,
661c2e0c445d09870decb949,76378_3,"It has now claimed more than 500 lives here, including 100 in the last day. More <span>than 41,000 Americans</span> have been infected. Stay-at-home orders will soon apply to 158 million Americans, nearly half the population.",0,,,,,,,,,,,,,11,,,,,,,,,,,1,,,,,,,,,,,,
661c2e0c445d09870decb949,Economic-Article-Quant-Annotation-instructions3_example.html,instructions3_example,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," If the quantity's general type is 'Macroeconomic / General Economic Conditions', what spin does the writer of the excerpt put on the highlighted quantity?:::Negative (e.g., prices skyrocketed)",
661c2e0c445d09870decb949,32527_30,"Local mayors complained that their sacrifices had been wasted. Three days later, on March 11, when the positive cases <span>reached 12,462 and</span> the death toll climbed to 827, Mr. Conte toughened the restrictions and extended them nationally. But by then, some experts say, it was already too late.",,,6,,,,,,,,,13,,,,,,,,,,5,,,,,,,,,,,,,,,
661c2e0c445d09870decb949,86041_32,"At its peak value, Longfin was included for eight trading days in the Russell 2000 small-company stock index, which would draw in some of the $122 billion in funds that follow the index. Short-sellers said Russell made a mistake because just 1.5% of Longfin’s shares traded, below <span>the 5% minimum</span>. Russell said it made the decision based on Longfin’s IPO disclosures, which said more shares would trade.",,,6,,,,,,,,,13,,,,,,,,,,5,,,,,,,,,,,,,,,
661c2e0c445d09870decb949,64400_3,"Income inequality was not much of an issue in the early to mid-1970s, when the top 1 percent of households earned less than 10 percent of total income in the United States. But the income gap between <span>the 1 percent</span> and the rest is now at the highest level in 50 years, driven by everything from the decline of union representation among workers — unions not only bargain for better pay, but also for workplace protections — to the offshoring of jobs to increasing CEO pay. The necessities of life didn’t come down in price to make up for the difference.",,,6,,,,,,,,,13,,,,,,,,,,5,,,,,,,,,,,,,,,
661c2e0c445d09870decb949,14797_0,"The Fed’s Wednesday release of minutes from its July 26-27 meeting suggested a rate increase is a possibility as early as September, but that the Fed won’t commit to moving until a stronger consensus can be reached about the outlook for growth, hiring and inflation. Several officials, still not yet confident that inflation will rise to the Fed’<span>s 2% objective</span> after running below target for four years, weren’t prepared to consider a rate increase. Others, believing the U.S. is close to a fully recovered job market, thought a rate increase would soon be warranted, according to the minutes.",0,,,,,,,,,,8,,,,,,,,,,,,,,1,,,,,,,,,,,,
