source year macro_type count total per
nytimes 2022 housing 641 24855 0.025789579561456447
nytimes 2022 interest 1146 24855 0.04610742305371153
nytimes 2022 jobs 6798 24855 0.2735063367531684
nytimes 2022 macro 4516 24855 0.18169382418024543
nytimes 2022 market 2562 24855 0.10307785153892576
nytimes 2022 other 1275 24855 0.051297525648762825
nytimes 2022 prices+ 6097 24855 0.24530275598471132
nytimes 2022 wages 1132 24855 0.04554415610541138
nytimes 2023 currency 52 1510 0.03443708609271523
nytimes 2023 housing 54 1510 0.03576158940397351
nytimes 2023 interest 45 1510 0.029801324503311258
nytimes 2023 jobs 507 1510 0.3357615894039735
nytimes 2023 macro 283 1510 0.18741721854304635
nytimes 2023 market 50 1510 0.033112582781456956
nytimes 2023 other 113 1510 0.07483443708609272
nytimes 2023 prices+ 336 1510 0.22251655629139072
nytimes 2023 wages 70 1510 0.046357615894039736
washingtonpost 2015 currency 137 5537 0.02474264041899946
washingtonpost 2015 housing 186 5537 0.03359219794112335
washingtonpost 2015 interest 80 5537 0.014448257178977787
washingtonpost 2015 jobs 1652 5537 0.29835651074589126
washingtonpost 2015 macro 1592 5537 0.28752031786165794
washingtonpost 2015 market 257 5537 0.04641502618746614
washingtonpost 2015 other 405 5537 0.07314430196857503
washingtonpost 2015 prices+ 571 5537 0.10312443561495395
washingtonpost 2015 wages 657 5537 0.11865631208235507
washingtonpost 2016 currency 154 8069 0.019085388523980666
washingtonpost 2016 housing 473 8069 0.05861940760936919
washingtonpost 2016 interest 35 8069 0.004337588300904697
washingtonpost 2016 jobs 2757 8069 0.3416780270169786
washingtonpost 2016 macro 2188 8069 0.2711612343536993
washingtonpost 2016 market 461 8069 0.05713223447763044
washingtonpost 2016 other 507 8069 0.06283306481596232
washingtonpost 2016 prices+ 678 8069 0.08402528194323956
washingtonpost 2016 wages 816 8069 0.10112777295823522
washingtonpost 2017 currency 158 7396 0.021362898864250947
washingtonpost 2017 housing 164 7396 0.022174148188209845
washingtonpost 2017 interest 68 7396 0.009194159004867496
washingtonpost 2017 jobs 2333 7396 0.315440778799351
washingtonpost 2017 macro 2514 7396 0.3399134667387777
washingtonpost 2017 market 371 7396 0.05016224986479178
washingtonpost 2017 other 551 7396 0.07449972958355867
washingtonpost 2017 prices+ 628 7396 0.08491076257436452
washingtonpost 2017 wages 609 7396 0.08234180638182802
washingtonpost 2018 currency 333 10715 0.031077928138124124
washingtonpost 2018 housing 320 10715 0.029864675688287448
washingtonpost 2018 interest 116 10715 0.0108259449370042
washingtonpost 2018 jobs 2969 10715 0.277088194120392
washingtonpost 2018 macro 2632 10715 0.24563695753616427
washingtonpost 2018 market 1436 10715 0.13401773215118992
washingtonpost 2018 other 817 10715 0.0762482501166589
washingtonpost 2018 prices+ 1220 10715 0.1138590760615959
washingtonpost 2018 wages 872 10715 0.0813812412505833
washingtonpost 2019 currency 203 9991 0.02031828645781203
washingtonpost 2019 housing 278 9991 0.027825042538284456
washingtonpost 2019 interest 117 9991 0.011710539485536983
washingtonpost 2019 jobs 2886 9991 0.2888599739765789
washingtonpost 2019 macro 3525 9991 0.352817535782204
washingtonpost 2019 market 690 9991 0.06906215594034631
washingtonpost 2019 other 774 9991 0.07746972275047542
washingtonpost 2019 prices+ 747 9991 0.07476729056150536
washingtonpost 2019 wages 771 9991 0.07716945250725653
washingtonpost 2020 currency 116 19473 0.005956966055564114
washingtonpost 2020 housing 267 19473 0.013711292558927746
washingtonpost 2020 interest 90 19473 0.00462178400862733
washingtonpost 2020 jobs 8719 19473 0.4477481641246855
washingtonpost 2020 macro 4538 19473 0.23304062034612028
washingtonpost 2020 market 1973 19473 0.10131977610024136
washingtonpost 2020 other 491 19473 0.025214399424844658
washingtonpost 2020 prices+ 2561 19473 0.13151543162327325
washingtonpost 2020 wages 718 19473 0.03687156575771581
washingtonpost 2021 currency 213 9713 0.021929373005250694
washingtonpost 2021 housing 500 9713 0.05147740142077628
washingtonpost 2021 interest 46 9713 0.004735920930711418
washingtonpost 2021 jobs 3633 9713 0.37403479872336043
washingtonpost 2021 macro 2297 9713 0.23648718212704622
washingtonpost 2021 market 440 9713 0.045300113250283124
washingtonpost 2021 other 528 9713 0.05436013590033975
washingtonpost 2021 prices+ 1505 9713 0.1549469782765366
washingtonpost 2021 wages 551 9713 0.05672809636569546
washingtonpost 2022 currency 346 14960 0.023128342245989305
washingtonpost 2022 housing 798 14960 0.053342245989304815
washingtonpost 2022 interest 155 14960 0.01036096256684492
washingtonpost 2022 jobs 4794 14960 0.32045454545454544
washingtonpost 2022 macro 3686 14960 0.2463903743315508
washingtonpost 2022 market 964 14960 0.06443850267379679
washingtonpost 2022 other 956 14960 0.06390374331550802
washingtonpost 2022 prices+ 2492 14960 0.16657754010695186
washingtonpost 2022 wages 769 14960 0.051403743315508024
washingtonpost 2023 currency 82 2301 0.035636679704476315
washingtonpost 2023 housing 92 2301 0.03998261625380269
washingtonpost 2023 interest 12 2301 0.005215123859191656
washingtonpost 2023 jobs 783 2301 0.34028683181225555
washingtonpost 2023 macro 613 2301 0.2664059104737071
washingtonpost 2023 market 106 2301 0.04606692742285962
washingtonpost 2023 other 214 2301 0.09300304215558453
washingtonpost 2023 prices+ 281 2301 0.12212081703607128
washingtonpost 2023 wages 118 2301 0.05128205128205128
wsj 2007 currency 203 4276 0.047474275023386345
wsj 2007 housing 373 4276 0.0872310570626754
wsj 2007 interest 207 4276 0.04840972871842844
wsj 2007 jobs 328 4276 0.07670720299345182
wsj 2007 macro 673 4276 0.15739008419083256
wsj 2007 market 1595 4276 0.37301216089803557
wsj 2007 other 200 4276 0.04677268475210477
wsj 2007 prices+ 548 4276 0.12815715622076707
wsj 2007 wages 149 4276 0.034845650140318055
wsj 2008 currency 119 2377 0.05006310475389146
wsj 2008 housing 142 2377 0.059739167017248636
wsj 2008 interest 76 2377 0.03197307530500631
wsj 2008 jobs 211 2377 0.08876735380732015
wsj 2008 macro 454 2377 0.19099705511148507
wsj 2008 market 744 2377 0.31299957930164074
wsj 2008 other 110 2377 0.04627681952040387
wsj 2008 prices+ 409 2377 0.17206562894404712
wsj 2008 wages 112 2377 0.04711821623895667
wsj 2009 currency 29 1126 0.02575488454706927
wsj 2009 housing 39 1126 0.03463587921847247
wsj 2009 interest 21 1126 0.018650088809946713
wsj 2009 jobs 187 1126 0.1660746003552398
wsj 2009 macro 338 1126 0.30017761989342806
wsj 2009 market 159 1126 0.14120781527531084
wsj 2009 other 64 1126 0.056838365896980464
wsj 2009 prices+ 97 1126 0.08614564831261101
wsj 2009 wages 192 1126 0.1705150976909414
wsj 2010 currency 43 1841 0.023356871265616513
wsj 2010 housing 77 1841 0.04182509505703422
wsj 2010 interest 24 1841 0.013036393264530146
wsj 2010 jobs 346 1841 0.18794133623030962
wsj 2010 macro 659 1841 0.35795763172189027
wsj 2010 market 312 1841 0.1694731124388919
wsj 2010 other 93 1841 0.050516023900054316
wsj 2010 prices+ 153 1841 0.08310700706137969
wsj 2010 wages 134 1841 0.07278652906029331
wsj 2011 currency 64 1476 0.04336043360433604
wsj 2011 housing 43 1476 0.029132791327913278
wsj 2011 interest 18 1476 0.012195121951219513
wsj 2011 jobs 154 1476 0.1043360433604336
wsj 2011 macro 508 1476 0.34417344173441733
wsj 2011 market 281 1476 0.19037940379403795
wsj 2011 other 78 1476 0.052845528455284556
wsj 2011 prices+ 205 1476 0.1388888888888889
wsj 2011 wages 125 1476 0.08468834688346884
wsj 2012 currency 393 7538 0.052135845051737864
wsj 2012 housing 443 7538 0.05876890421862563
wsj 2012 interest 130 7538 0.017245953833908197
wsj 2012 jobs 1321 7538 0.17524542318917485
wsj 2012 macro 2208 7538 0.2929158928097639
wsj 2012 market 1241 7538 0.16463252852215443
wsj 2012 other 451 7538 0.05983019368532767
wsj 2012 prices+ 905 7538 0.12005837092066861
wsj 2012 wages 446 7538 0.0591668877686389
wsj 2013 currency 348 8744 0.03979871912168344
wsj 2013 housing 521 8744 0.05958371454711802
wsj 2013 interest 144 8744 0.01646843549862763
wsj 2013 jobs 1306 8744 0.14935956084172003
wsj 2013 macro 2714 8744 0.310384263494968
wsj 2013 market 1583 8744 0.1810384263494968
wsj 2013 other 538 8744 0.06152790484903934
wsj 2013 prices+ 1088 8744 0.12442817932296432
wsj 2013 wages 502 8744 0.057410795974382436
wsj 2014 currency 248 8771 0.02827499714969787
wsj 2014 housing 520 8771 0.059286284346140694
wsj 2014 interest 130 8771 0.014821571086535174
wsj 2014 jobs 1412 8771 0.1609850644168282
wsj 2014 macro 2237 8771 0.255045034773686
wsj 2014 market 2136 8771 0.24352981416030098
wsj 2014 other 462 8771 0.052673583399840386
wsj 2014 prices+ 1158 8771 0.13202599475544408
wsj 2014 wages 468 8771 0.05335765591152662
wsj 2015 currency 1107 28140 0.039339019189765456
wsj 2015 housing 1102 28140 0.03916133617626155
wsj 2015 interest 701 28140 0.024911158493248046
wsj 2015 jobs 4175 28140 0.14836531627576405
wsj 2015 macro 7046 28140 0.2503909026297086
wsj 2015 market 6679 28140 0.23734896943852168
wsj 2015 other 1455 28140 0.051705756929637525
wsj 2015 prices+ 3844 28140 0.13660270078180525
wsj 2015 wages 2031 28140 0.07217484008528785
wsj 2016 currency 1801 30325 0.059389942291838416
wsj 2016 housing 1038 30325 0.03422918384171476
wsj 2016 interest 813 30325 0.026809563066776586
wsj 2016 jobs 2833 30325 0.09342126957955482
wsj 2016 macro 7355 30325 0.24253915910964552
wsj 2016 market 8087 30325 0.26667765869744436
wsj 2016 other 1213 30325 0.04
wsj 2016 prices+ 5081 30325 0.1675515251442704
wsj 2016 wages 2104 30325 0.06938169826875515
wsj 2017 currency 1124 25275 0.04447082096933729
wsj 2017 housing 900 25275 0.03560830860534125
wsj 2017 interest 645 25275 0.025519287833827894
wsj 2017 jobs 2893 25275 0.11446092977250247
wsj 2017 macro 8187 25275 0.32391691394658756
wsj 2017 market 5573 25275 0.22049455984174085
wsj 2017 other 1135 25275 0.04490603363006924
wsj 2017 prices+ 2559 25275 0.10124629080118694
wsj 2017 wages 2259 25275 0.08937685459940653
wsj 2018 currency 995 24771 0.04016793831496508
wsj 2018 housing 831 24771 0.03354729320576481
wsj 2018 interest 667 24771 0.02692664809656453
wsj 2018 jobs 3391 24771 0.13689394856889103
wsj 2018 macro 6276 24771 0.25336078478866414
wsj 2018 market 6539 24771 0.26397803883573534
wsj 2018 other 1077 24771 0.043478260869565216
wsj 2018 prices+ 2798 24771 0.11295466472891688
wsj 2018 wages 2197 24771 0.08869242259093295
wsj 2019 currency 702 21073 0.033312769895126465
wsj 2019 housing 864 21073 0.04100033217861719
wsj 2019 interest 689 21073 0.03269586674892042
wsj 2019 jobs 2899 21073 0.13756940160394818
wsj 2019 macro 5913 21073 0.2805960233474114
wsj 2019 market 5075 21073 0.24082949746120627
wsj 2019 other 945 21073 0.04484411332036255
wsj 2019 prices+ 2298 21073 0.10904949461396099
wsj 2019 wages 1688 21073 0.08010250083044654
