user,instance_id,displayed_text,"Good work! You answered the sample questions correctly. Please confirm that you have read all instructions, because you'll now do 2 examples on your own.:::I have read all provided instructions","If the quantity's general type is 'Macroeconomic / General Economic Conditions', please label the specific macroeconomic indicator. Select 'Not general type 'Macroeconomic / General Economic Conditions'' if the quantity is not relevant to the U.S. economy or is not a macroeconomic / general conditions type.:::Market Numbers (e.g., any financial market)"," If the quantity's general type is 'Macroeconomic / General Economic Conditions', what spin does the writer of the excerpt put on the highlighted quantity?:::Negative (e.g., prices skyrocketed)","The highlighted quantity should have a general type. Please label the type, or select 'Not Relevant' is a date or otherwise not relevant to the U.S. economy:::Macroeconomic / General Economic Conditions (e.g., discusses jobs, housing prices, and oil prices)","frame:::Industry-specific (e.g., discusses agricultural prices, manufacturing output, and retail sales)",frame:::Other,"frame:::Firm-specific (e.g., discusses stock prices, debt offerings, and capital investments)","frame:::Macroeconomic / General Economic Conditions (e.g., discusses jobs, housing prices, and oil prices)",frame:::Not Relevant to the U.S. Economy,"frame:::Government revenue and expenses (e.g., discusses taxes, budgets, and treasury issuances)","frame:::Personal (e.g., discusses household expenditures and personal debts)","macro_indicator:::Job Numbers (e.g., jobs, unemployment)",macro_indicator:::Confidence,macro_indicator:::Other,"macro_indicator:::Macroeconomy (e.g., GDP)","macro_indicator:::Prices (e.g., CPI, PPI)","macro_indicator:::Wages (e.g., minimum wage, average wage)","macro_indicator:::Energy Prices (eg., oil, gas)",macro_indicator:::Currency Values,macro_indicator:::Not Relevant to the U.S. Economy,macro_indicator:::Not general type 'Macroeconomic / General Economic Conditions',macro_indicator:::Retail Sales,"macro_indicator:::Interest Rates (e.g., Fed, Mortgage)","macro_indicator:::Housing (e.g., Start, Sales, Pricing)","macro_indicator:::Market Numbers (e.g., any financial market)","spin:::Negative (e.g., prices skyrocketed)","spin:::Positive (e.g., inflation dropped)",spin:::Not Relevant to the U.S. Economy,spin:::Not general type 'Macroeconomic / General Economic Conditions',"spin:::Neutral (e.g., GDP was worth X US dollars)",spin:::Unknown,"Question 1: The highlighted quantity should have a general type. Please label the type, or select 'Not Relevant to the U.S. Economy' if it is a date or otherwise not relevant to the U.S. economy:::Firm-specific (e.g., discusses stock prices, debt offerings, and capital investments)","Question 1: The highlighted quantity should have a general type. Please label the type, or select 'Not Relevant to the U.S. Economy' if it is a date or otherwise not relevant to the U.S. economy:::Macroeconomic / General Economic Conditions (e.g., discusses jobs, housing prices, and oil prices)","Question 2: If the quantity's general type is 'Macroeconomic / General Economic Conditions', please label the specific macroeconomic indicator. Select 'Not general type 'Macroeconomic / General Economic Conditions'' if the quantity is not relevant to the U.S. economy or is not a macroeconomic / general conditions type.:::Not general type 'Macroeconomic / General Economic Conditions'","Question 2: If the quantity's general type is 'Macroeconomic / General Economic Conditions', please label the specific macroeconomic indicator. Select 'Not general type 'Macroeconomic / General Economic Conditions'' if the quantity is not relevant to the U.S. economy or is not a macroeconomic / general conditions type.:::Housing (e.g., Start, Sales, Pricing)","Question 3: If the quantity's general type is 'Macroeconomic / General Economic Conditions', what spin does the writer of the excerpt put on the highlighted quantity?:::Negative (e.g., prices skyrocketed)","Question 3: If the quantity's general type is 'Macroeconomic / General Economic Conditions', what spin does the writer of the excerpt put on the highlighted quantity?:::Not general type 'Macroeconomic / General Economic Conditions",You have answered all practice questions correctly! You may access the instructions at any time during the study using the links at the top left the screen.:::I have identified the links to the instruction set and codebook,Please note that we reserve the right to reject your annotations if the provided instructions are not followed.:::I understand that my answers will be rejected if I do not follow the instructions
66426dc63f7e1cdc46dcbdbd,89039_5,"His campaign is trying to reach 40% support in the province for the presidential race, a spokeswoman said, exceeding what a liberal candidate has done before. Ms. Park,<span> 60,</span> entered politics in 1997. She repeatedly won election to the national parliament from a city in the conservative southeast.",,,,,,,,,6,,,,,,,,,,,13,,,,,,,,5,,,,,,,,,,,
66426dc63f7e1cdc46dcbdbd,90349_5,"That meeting will include an update of their interest rate and economic forecast. The case for a more aggressive path is building: Inflation is likely to move up toward <span>the 2% inflation</span> target, in part because of favorable arithmetic relative to last year's unexpectedly weak readings. The job market remains very strong.",,,,,,,,0,,,,,,,,,,,,,,,8,,,,0,,,,,,,,,,,,
66426dc63f7e1cdc46dcbdbd,5923_3,"And of all the contenders under consideration, none offer quite the contrast with Mr. Biden — in the story of her life and the story of her politics — as the Democratic congresswoman from California. Ms. Bass grew up in a Black middle-class neighborhood in central Los Angeles; Mr. Biden spent his first years in predominantly white, middle-class Scranton, Pa. Mr. Biden was elected to his first public office in 1970, when he <span>was 27.</span> Ms. Bass was 51 when she was first elected to the Assembly.",,,,,,,,,6,,,,,,,,,,,13,,,,,,,,5,,,,,,,,,,,
66426dc63f7e1cdc46dcbdbd,13915_25,"As of Friday afternoon, nearly 260,000 coronavirus cases had been confirmed around the globe. The World Health Organization noted that it took more than three months to reach 100,000 cases worldwide — but <span>only 12 days</span> to log the next 100,000. “These massive shutdowns in California, New York and elsewhere are going to take a toll,” said Ivan Feinseth of Tigress Financial Partners.",,,,,,,,,6,,,,,,,,,,,13,,,,,,,,5,,,,,,,,,,,
66426dc63f7e1cdc46dcbdbd,19687_2,"“You end up with this big, homogenous culture where everybody looks alike, everybody thinks alike, and everybody likes drinking beer at 3 o’clock in the afternoon with the bros,” she says. An alluring culture is a coveted prize in today’s tight labor market, surging to first from fifth place in the last five years as the most important factor in recruiting top talent, according to a 2018 Korn Ferry survey <span>of 1,100 hiring</span> managers. But there’s a difference between cultural frills like office ping pong and craft beer, and deeper ones that mean more.",,,,,2,,,,,,,,,11,,,,,,,,,,,,,,,,2,,,,,,,,,
66426dc63f7e1cdc46dcbdbd,65566_32,"(The vast majority of Omicron cases have not been sequenced.) It has been detected in at <span>least 128 countries</span>, according to the W.H.O., and is fueling record-high case numbers in many parts of the world. Concerns over the variant in France arose after researchers found that it contained 46 mutations that differed from the original version of the coronavirus.",,,,,,,,,6,,,,,,,,,,,13,,,,,,,,5,,,,,,,,,,,
66426dc63f7e1cdc46dcbdbd,40013_0,"Fast-rising crude, on its own, has been pressuring global growth for months. Swiss bank UBS figures that today’s international crude price, <span>around $75 a</span> barrel, would boost global inflation by more than half a percentage point, compared with the $50 barrels the world enjoyed as recently as last year. Brent crude, the international benchmark, has eased off a recent 3½-year high of around $80, on expectations that the Organization of the Petroleum Exporting Countries will boost output when it meets this week.",,,,,,,,0,,,,,,,,,,10,,,,,,,,1,,,,,,,,,,,,,
66426dc63f7e1cdc46dcbdbd,63003_11,"This housing can also be easily lost, not because it disappears, but because it is purchased by a homeowner or investor who renovates in hopes of increasing rents. This is what has happened over the last two decades: Since 2014, according to Harvard’s Joint Center, the nation has lost <span>about 2.7 million</span> affordable units, defined as those carrying rents less than $600. Carline Chery, 50, owns three Boston duplexes.",,,,,,,,0,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,
66426dc63f7e1cdc46dcbdbd,Economic-Article-Quant-Annotation-instructions3_example.html,instructions3_example,,," If the quantity's general type is 'Macroeconomic / General Economic Conditions', what spin does the writer of the excerpt put on the highlighted quantity?:::Negative (e.g., prices skyrocketed)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66426dc63f7e1cdc46dcbdbd,Economic-Article-Quant-Annotation-example1.html,example1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Question 1: The highlighted quantity should have a general type. Please label the type, or select 'Not Relevant to the U.S. Economy' if it is a date or otherwise not relevant to the U.S. economy:::Firm-specific (e.g., discusses stock prices, debt offerings, and capital investments)",,"Question 2: If the quantity's general type is 'Macroeconomic / General Economic Conditions', please label the specific macroeconomic indicator. Select 'Not general type 'Macroeconomic / General Economic Conditions'' if the quantity is not relevant to the U.S. economy or is not a macroeconomic / general conditions type.:::Not general type 'Macroeconomic / General Economic Conditions'",,,"Question 3: If the quantity's general type is 'Macroeconomic / General Economic Conditions', what spin does the writer of the excerpt put on the highlighted quantity?:::Not general type 'Macroeconomic / General Economic Conditions",,
66426dc63f7e1cdc46dcbdbd,42242_9,"Homeowners seem to be sitting out the market, waiting for the return of the good times. This helps explain why median sales prices have fallen by only about 7 percent, from a June high of $413,800 to<span> $384,800 in</span> September — and were still up year-over-year. Of course, that 7 percent decline might be a good deal if interest rates fall back to where they were fairly quickly.",,,,,,,,0,,,,,,,,,,,,,,,,2,,,0,,,,,,,,,,,,
66426dc63f7e1cdc46dcbdbd,73084_38,"While consumer confidence has climbed slightly, and some shoppers are willing to spend a little more this season, most are restricting themselves to practical purchases and forgoing designer clothing and accessories that may go out of fashion quickly. The National Retail Federation said Tuesday that it expects U.S. retail sales to fall to 2005 levels in the coming holiday season, though the expected decline <span>of 1% isn</span>'t as deep as the 3.4% plunge of the 2008 holiday season. Some industry observers, such as Monica Aggarwal, a Fitch Ratings analyst, expect the sales declines at luxury retailers to continue until late 2010 or 2011.",,,,,2,,,,,,,,,,,,,,,,,7,,,,,0,,,,,,,,,,,,
66426dc63f7e1cdc46dcbdbd,26962_13,"The government in Beijing, which keeps a firm grip on the value of its currency, weakened the renminbi by 0.34 percent against the dollar, setting the benchmark rate for trading in Shanghai at its weakest level in 15 months. China’s main stock index lost nearly 2 percent at one point on Monday, but it closed <span>down 0.3 percent</span>. The reaction was stronger in other Asian markets: In Tokyo, the main index fell 2 percent.",,,,,,,,,6,,,,,,,,,,,13,,,,,,,,5,,,,,,,,,,,
66426dc63f7e1cdc46dcbdbd,88260_19,"But the U.S. curve is flattening again this week, and some believe the Fed's tightening bias—even on a very slow path—makes it hard for yields to steepen much unless inflation flares up. The 10-year note's yield premium relative to 2s is at 88 basis points, near the least since 2007; it <span>was 91 basis</span> points yesterday. — Min Zeng It's a good question about tariffs and their economic impact.",,,,,,,,0,,,,,,,,,,,,,,,8,,,,,,,2,,,,,,,,,
66426dc63f7e1cdc46dcbdbd,86825_33,"Australia is at a crossroads with Covid. The confidence and pride <span>of 2020,</span> when lockdowns and isolation brought outbreaks to heel, have been replaced by doubt, fatigue and a bitter battle over how much freedom or risk should be allowed in a Delta-defined future. Some states are trying desperately to hold on to what worked before, while New South Wales and Victoria, home to the country’s biggest cities, Sydney and Melbourne, are being forced by Delta outbreaks to find a more nuanced path forward.",,,,,,,,,6,,,,,,,,,,,13,,,,,,,,5,,,,,,,,,,,
66426dc63f7e1cdc46dcbdbd,73084_42,"The National Retail Federation said Tuesday that it expects U.S. retail sales to fall to 2005 levels in the coming holiday season, though the expected decline of 1% isn't as deep as the 3.4% plunge of the 2008 holiday season. Some industry observers, such as Monica Aggarwal, a Fitch Ratings analyst, expect the sales declines at luxury retailers to continue until late 2010 or<span> 2011.</span> Still, the size of the expected decline in luxury-goods sales this holiday season is an improvement over last year's miserable results.",,,,,,,,,6,,,,,,,,,,,13,,,,,,,,5,,,,,,,,,,,
66426dc63f7e1cdc46dcbdbd,89586_0,"He got one Thursday — or at least a faithful understudy — in the person of Vice President Mike Pence. Mr. Pence met Mr. Johnson <span>at 10 Downing</span> Street to pass along President Trump’s support of the prime minister’s plan to pull Britain out of the European Union. Mr. Trump himself offered Mr. Johnson a long-distance pat on the back Wednesday as Mr. Johnson battled a recalcitrant Parliament, telling reporters, “Boris knows how to win.” These days, however, Mr. Johnson does not look like much of a winner.",,,,,,,,,6,,,,,,,,,,,13,,,,,,,,5,,,,,,,,,,,
66426dc63f7e1cdc46dcbdbd,95609_13,"But it also raises legal and practical questions about how much more the ECB can accomplish with its current toolbox. The bank’s key interest rate is already below zero and its balance sheet has swollen to <span>around 40% of</span> eurozone economic output, double that of the Federal Reserve. “The ECB is still very optimistic and positive about the results delivered by negative interest rates and asset purchases.",,,,,,,,,6,,,,,,,,,,,13,,,,,,,,5,,,,,,,,,,,
66426dc63f7e1cdc46dcbdbd,86825_0,"The charity said actual figures were likely to be much higher, with many unregistered cases and deaths. The official Covid death toll <span>about 1,658,</span> and recorded cases have reached 8,789. But the situation in the country of about 30 million is hard to gauge.",,,,,,,,,6,,,,,,,,,,,13,,,,,,,,5,,,,,,,,,,,
66426dc63f7e1cdc46dcbdbd,73084_0,"Oct.<span> 7,</span> 2009 12:01 am ET  Even our fantasies are being downsized. Neiman Marcus Group Inc. mailed out its annual Christmas Book catalog, which each year features over-the-top ""fantasy"" gifts, to one million customers on Tuesday.",,,,,,,,,6,,,,,,,,,,,13,,,,,,,,5,,,,,,,,,,,
66426dc63f7e1cdc46dcbdbd,95609_3,"The Fed is widely expected to lower interest rates for the first time in over a decade when it meets next week. In a statement, the ECB said it was “determined to act” to prop up inflation rates that have persistently undershot the central bank’s target of just <span>below 2%,</span> which the economic slowdown puts further out of reach. It said it was expecting to keep its key interest rate at minus 0.4% or lower through the first half of 2020.",,,,,,,,0,,,,,,,,,,,,,,,8,,,1,,,,,,,,,,,,,
66426dc63f7e1cdc46dcbdbd,95609_6,"It has previously used such language to signal that fresh action is imminent. The ECB’s next policy meeting is on Sept.<span> 12.</span> “It now increasingly looks as if the September meeting will not only bring a single measure but rather a package of several measures,” ING Bank analysts said.",,,,,,,,,6,,,,,,,,,,,13,,,,,,,,5,,,,,,,,,,,
66426dc63f7e1cdc46dcbdbd,19687_4,"Many employers post their cultural values on the wall but fail to make them explicit to job applicants, says S. Chris Edmonds, author of “The Culture Engine.” This can easily lead to misfires. <span>Some 7% of</span> workers ages 24 to 36 say they dislike their employer’s culture so much that they intend to quit their jobs in the next two years, according to a 2019 survey by Deloitte of 13,416 millennial employees. More young workers are holding employers accountable for their values, and insisting that their companies stand for something, Mr. Edmonds says.",,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,2,,,,,,,,,
66426dc63f7e1cdc46dcbdbd,65566_3,"Once the bill is approved, only proof of vaccination — or, in some cases, of recovery from Covid-19 — will be accepted, effectively barring the unvaccinated from large sections of French social life. France has seen record-breaking numbers of new confirmed cases almost every day over the past week — <span>over 270,000 for</span> Tuesday alone — and hospitalizations are steadily increasing. But unlike some of its European neighbors, France has balked at imposing restrictions like curfews or lockdowns to keep infection rates in check.",,,,,,,,,6,,,,,,,,,,,13,,,,,,,,5,,,,,,,,,,,
66426dc63f7e1cdc46dcbdbd,73084_39,"While consumer confidence has climbed slightly, and some shoppers are willing to spend a little more this season, most are restricting themselves to practical purchases and forgoing designer clothing and accessories that may go out of fashion quickly. The National Retail Federation said Tuesday that it expects U.S. retail sales to fall to 2005 levels in the coming holiday season, though the expected decline of 1% isn't as deep as <span>the 3.4% plunge</span> of the 2008 holiday season. Some industry observers, such as Monica Aggarwal, a Fitch Ratings analyst, expect the sales declines at luxury retailers to continue until late 2010 or 2011.",,,,,2,,,,,,,,,,,,,,,,,7,,,,1,,,,,,,,,,,,,
66426dc63f7e1cdc46dcbdbd,5923_2,"And of all the contenders under consideration, none offer quite the contrast with Mr. Biden — in the story of her life and the story of her politics — as the Democratic congresswoman from California. Ms. Bass grew up in a Black middle-class neighborhood in central Los Angeles; Mr. Biden spent his first years in predominantly white, middle-class Scranton, Pa. Mr. Biden was elected to his first public office <span>in 1970,</span> when he was 27. Ms. Bass was 51 when she was first elected to the Assembly.",,,,,,,,,6,,,,,,,,,,,13,,,,,,,,5,,,,,,,,,,,
66426dc63f7e1cdc46dcbdbd,54130_6,"Notably, 47 percent of Michigan voters say Trump’s China policies are bad for the state, vs. only 26 percent who say the opposite. Crucially, among Michigan union households, opposition climbs to 55 percent, and independents oppose the policies <span>by 2 to</span> 1. Those groups likely include many of the blue-collar white and Obama-Trump voters Democrats must win back.",,,,,,,,,6,,,,,,,,,,,13,,,,,,,,5,,,,,,,,,,,
66426dc63f7e1cdc46dcbdbd,63003_10,"This housing can also be easily lost, not because it disappears, but because it is purchased by a homeowner or investor who renovates in hopes of increasing rents. This is what has happened over the last two decades: <span>Since 2014,</span> according to Harvard’s Joint Center, the nation has lost about 2.7 million affordable units, defined as those carrying rents less than $600. Carline Chery, 50, owns three Boston duplexes.",,,,,,,,0,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,,,
66426dc63f7e1cdc46dcbdbd,63003_0,"For the most part, that has not happened. Despite <span>a 14.7 percent</span> unemployment rate and millions of new jobless claims each week, collections are only slightly below where they were last year, when the economy was booming. How can this be?",,,,,,,,0,,,,0,,,,,,,,,,,,,,1,,,,,,,,,,,,,
66426dc63f7e1cdc46dcbdbd,26962_0,"But it has so far refused to raise interest rates, and the changes it has pushed through thus far have been limited in scope. After the Turkish lira fell even further — one dollar <span>bought 3.8 liras</span> at the start of the year, but at one point on Monday it was worth 7.2 liras — investors dumped other emerging-market currencies. The Indian rupee dropped to a record low against the dollar, the Indonesian rupiah flirted with a three-year low, and the South African rand lost 2 percent after falling nearly 6 percent last week.",,,,,,,,,6,,,,,,,,,,,13,,,,,,,,5,,,,,,,,,,,
66426dc63f7e1cdc46dcbdbd,45383_13,"They spoke Mandarin and Hindi and Japanese and Turkish, code-switching to English to answer questions from The Post. According to 2017 estimates from the American Community Survey, Palo Alto is 75.8 percent white, 31.3 percent Asian, <span>and 1.2 percent</span> black, a similar demographic breakdown to most tech companies. Practical information about the Old Palo Alto Halloween event spreads by word of mouth, social media and private messaging apps.",,,,,,,,,6,,,,,,,,,,,13,,,,,,,,5,,,,,,,,,,,
66426dc63f7e1cdc46dcbdbd,8238_55,"After stripping out food and fuel prices, which are volatile, the core price index was up 5.7 percent over the past year, a moderation from 6 percent in November. On a monthly basis, that core measure picked up, though: It climbed <span>by 0.3 percent</span> compared with November, in line with expectations but quicker than the previous reading. That suggests inflation has some underlying staying power.",,,,,,,,0,,,,,,,,5,,,,,,,,,,,0,,,,,,,,,,,,
66426dc63f7e1cdc46dcbdbd,43854_2,"As floodwaters finally retreat, officials must contend with tens of thousands unable to return to their homes  Sept. 17, 2017 3:11 pm ET  HOUSTON—Lillian Godfrey has been sleeping on an air mattress on the floor of her friend’s shuttered night club, alongside her daughter and two pool tables, ever since floodwaters swept into her home here last month. Ms. Godfrey,<span> 74 years</span> old, has a federal voucher for a hotel, but hasn’t had any luck finding a room nearby. Her daughter’s cars were lost in the flooding.",,,,,,,,,6,,,,,,,,,,,13,,,,,,,,5,,,,,,,,,,,
66426dc63f7e1cdc46dcbdbd,Economic-Article-Quant-Annotation-instructions_confirm.html,instructions_confirm,"Good work! You answered the sample questions correctly. Please confirm that you have read all instructions, because you'll now do 2 examples on your own.:::I have read all provided instructions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66426dc63f7e1cdc46dcbdbd,Economic-Article-Quant-Annotation-instructions1_example.html,instructions1_example,,,,"The highlighted quantity should have a general type. Please label the type, or select 'Not Relevant' is a date or otherwise not relevant to the U.S. economy:::Macroeconomic / General Economic Conditions (e.g., discusses jobs, housing prices, and oil prices)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66426dc63f7e1cdc46dcbdbd,40013_4,"Exacerbating the pain in many countries is a strengthening dollar. The WSJ Dollar Index, a measure of the dollar compared with a basket <span>of 16 major</span> currencies, has strengthened 6% since February. In Europe, dollar strength against the euro has helped make crude today about 30% more expensive than when oil was at a low in February.",,,,,,,,0,,,,,,,,,,,9,,,,,,,,0,,,,,,,,,,,,
66426dc63f7e1cdc46dcbdbd,Economic-Article-Quant-Annotation-instructions2_example.html,instructions2_example,,"If the quantity's general type is 'Macroeconomic / General Economic Conditions', please label the specific macroeconomic indicator. Select 'Not general type 'Macroeconomic / General Economic Conditions'' if the quantity is not relevant to the U.S. economy or is not a macroeconomic / general conditions type.:::Market Numbers (e.g., any financial market)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66426dc63f7e1cdc46dcbdbd,88260_0,"So it goes in Fedland. We've <span>seen 23 Fed</span> press conferences and the Fed has raised interest rates a quarter percentage point. (Yes, that averages out to about one basis point per press conference.)",,,,,,5,,,,,,,,11,,,,,,,,,,,,,,,,2,,,,,,,,,
66426dc63f7e1cdc46dcbdbd,31861_18,You can read Aaron’s full analysis here. The latest: Still no call in a tight Texas congressional raceReturn to menu The congressional primary runoff in South Texas pitting Rep. Henry Cuellar against immigration lawyer Jessica Cisneros remains uncalled Wednesday morning with <span>only 175 votes</span> separating the two Democratic contenders and ballots remaining to be tallied. The lack of a call by the Associated Press did not deter Cuellar from issuing a statement claiming victory early Wednesday morning.,,,,,,,,,6,,,,,,,,,,,13,,,,,,,,5,,,,,,,,,,,
